날짜,시간,온도,습도
2022-11-28,00:02:47,9.30,52.90
2022-11-28,00:07:47,9.30,51.40
2022-11-28,00:12:48,9.30,53.00
2022-11-28,00:17:48,9.30,53.50
2022-11-28,00:22:49,9.20,53.50
2022-11-28,00:27:49,9.10,53.30
2022-11-28,00:32:49,9.10,53.50
2022-11-28,00:37:50,9.10,52.60
2022-11-28,00:42:50,9.10,54.00
2022-11-28,00:47:51,9.00,53.40
2022-11-28,00:52:51,8.90,53.80
2022-11-28,00:57:52,8.70,52.70
2022-11-28,01:02:52,8.60,52.40
2022-11-28,01:07:53,8.60,52.10
2022-11-28,01:12:53,8.60,51.90
2022-11-28,01:17:54,8.70,52.00
2022-11-28,01:22:54,8.70,52.30
2022-11-28,01:27:54,8.60,51.80
2022-11-28,01:32:55,8.50,51.50
2022-11-28,01:37:55,8.50,51.60
2022-11-28,01:42:56,8.50,51.30
2022-11-28,01:47:56,8.40,51.30
2022-11-28,01:52:57,8.40,51.50
2022-11-28,01:57:57,8.40,51.70
2022-11-28,02:02:58,8.30,51.80
2022-11-28,02:07:58,8.20,51.70
2022-11-28,02:12:58,8.20,50.90
2022-11-28,02:17:59,8.10,50.20
2022-11-28,02:22:59,8.00,50.50
2022-11-28,02:28:00,8.00,50.60
2022-11-28,02:33:00,8.00,50.40
2022-11-28,02:38:01,8.10,50.90
2022-11-28,02:43:01,8.10,50.60
2022-11-28,02:48:02,8.10,50.80
2022-11-28,02:53:02,8.10,51.00
2022-11-28,02:58:03,8.10,51.50
2022-11-28,03:03:03,8.10,51.50
2022-11-28,03:08:03,8.10,51.10
2022-11-28,03:13:04,8.10,51.40
2022-11-28,03:18:04,8.20,51.40
2022-11-28,03:23:05,8.10,51.80
2022-11-28,03:28:05,8.10,52.00
2022-11-28,03:33:06,8.10,52.20
2022-11-28,03:38:06,8.00,51.60
2022-11-28,03:43:07,8.00,52.00
2022-11-28,03:48:07,8.00,51.90
2022-11-28,03:53:07,8.00,52.10
2022-11-28,03:58:08,8.00,52.00
2022-11-28,04:03:09,7.90,51.90
2022-11-28,04:08:09,7.90,52.30
2022-11-28,04:13:09,7.90,52.60
2022-11-28,04:18:10,7.90,52.50
2022-11-28,04:23:11,7.90,52.50
2022-11-28,04:28:11,7.90,52.70
2022-11-28,04:33:12,7.90,53.00
2022-11-28,04:38:12,7.90,52.90
2022-11-28,04:43:12,7.90,52.90
2022-11-28,04:48:13,7.90,52.80
2022-11-28,04:53:13,7.90,53.00
2022-11-28,04:58:13,7.90,53.00
2022-11-28,05:03:14,8.00,52.90
2022-11-28,05:08:14,8.10,53.40
2022-11-28,05:13:15,8.20,53.60
2022-11-28,05:18:16,8.20,54.10
2022-11-28,05:23:16,8.20,54.30
2022-11-28,05:28:17,8.20,54.10
2022-11-28,05:33:17,8.10,53.30
2022-11-28,05:38:17,8.20,54.30
2022-11-28,05:43:18,8.10,54.90
2022-11-28,05:48:18,8.00,54.00
2022-11-28,05:53:19,7.90,53.90
2022-11-28,05:58:19,7.70,54.00
2022-11-28,06:03:20,7.70,53.70
2022-11-28,06:08:20,7.60,53.70
2022-11-28,06:13:21,7.60,53.30
2022-11-28,06:18:21,7.50,53.20
2022-11-28,06:23:22,7.40,53.40
2022-11-28,06:28:22,7.40,53.50
2022-11-28,06:33:23,7.40,53.30
2022-11-28,06:38:23,7.30,53.20
2022-11-28,06:43:24,7.30,53.30
2022-11-28,06:48:24,7.30,53.30
2022-11-28,06:53:24,7.30,53.20
2022-11-28,06:58:25,7.30,53.40
2022-11-28,07:03:25,7.30,53.50
2022-11-28,07:08:26,7.30,53.70
2022-11-28,07:13:26,7.30,53.80
2022-11-28,07:18:27,7.20,53.80
2022-11-28,07:23:27,7.20,53.70
2022-11-28,07:28:28,7.30,54.00
2022-11-28,07:33:28,7.40,54.30
2022-11-28,07:38:28,7.60,54.50
2022-11-28,07:43:28,7.70,54.70
2022-11-28,07:48:28,7.80,54.80
2022-11-28,07:53:28,7.90,55.20
2022-11-28,07:58:29,8.00,54.10
2022-11-28,08:03:29,8.10,53.30
2022-11-28,08:08:30,8.20,53.90
2022-11-28,08:13:30,8.40,53.40
2022-11-28,08:18:31,8.60,53.40
2022-11-28,08:23:31,9.00,53.60
2022-11-28,08:28:31,9.30,53.00
2022-11-28,08:33:31,9.60,52.60
2022-11-28,08:38:32,9.90,52.20
2022-11-28,08:43:33,10.20,51.50
2022-11-28,08:48:33,10.50,50.70
2022-11-28,08:53:34,10.80,50.70
2022-11-28,08:58:34,11.10,49.80
2022-11-28,09:03:35,11.30,50.40
2022-11-28,09:08:35,11.40,49.30
2022-11-28,09:13:35,11.60,48.80
2022-11-28,09:18:36,11.90,48.80
2022-11-28,09:23:36,12.10,49.00
2022-11-28,09:28:37,12.30,48.90
2022-11-28,09:33:37,12.60,48.10
2022-11-28,09:38:38,12.90,47.90
2022-11-28,09:43:38,13.20,47.90
2022-11-28,09:48:39,13.40,47.30
2022-11-28,09:53:39,13.60,47.20
2022-11-28,09:58:40,13.80,46.70
2022-11-28,10:03:40,14.00,47.30
2022-11-28,10:08:41,14.30,46.30
2022-11-28,10:13:41,14.50,46.80
2022-11-28,10:18:42,14.70,46.70
2022-11-28,10:23:42,15.00,46.60
2022-11-28,10:28:42,15.30,45.50
2022-11-28,10:33:43,15.50,46.30
2022-11-28,10:38:43,15.70,45.50
2022-11-28,10:43:44,15.90,46.00
2022-11-28,10:48:44,16.00,45.80
2022-11-28,10:53:45,16.30,46.20
2022-11-28,10:58:45,16.40,46.20
2022-11-28,11:03:46,16.40,46.50
2022-11-28,11:08:46,16.30,46.30
2022-11-28,11:13:46,16.20,47.30
2022-11-28,11:18:46,16.00,47.80
2022-11-28,11:23:47,15.80,48.50
2022-11-28,11:28:47,15.60,49.20
2022-11-28,11:33:48,15.50,49.70
2022-11-28,11:38:48,15.40,50.40
2022-11-28,11:43:49,15.30,50.70
2022-11-28,11:48:49,15.30,51.10
2022-11-28,11:53:50,15.30,51.30
2022-11-28,11:58:50,15.20,51.60
2022-11-28,12:03:51,15.20,51.70
2022-11-28,12:08:51,15.20,51.90
2022-11-28,12:13:52,15.10,52.10
2022-11-28,12:18:52,15.10,52.20
2022-11-28,12:23:52,15.10,52.60
2022-11-28,12:28:53,15.20,52.50
