날짜,시간,온도,습도
2022-11-26,00:03:44,11.10,60.60
2022-11-26,00:08:45,11.10,61.40
2022-11-26,00:13:45,11.10,61.30
2022-11-26,00:18:45,11.10,61.30
2022-11-26,00:23:46,11.00,61.20
2022-11-26,00:28:46,11.10,60.90
2022-11-26,00:33:46,11.10,60.70
2022-11-26,00:38:47,11.00,61.80
2022-11-26,00:43:47,11.10,61.90
2022-11-26,00:48:48,11.10,62.00
2022-11-26,00:53:48,11.10,62.10
2022-11-26,00:58:48,11.00,62.00
2022-11-26,01:03:49,10.90,62.20
2022-11-26,01:08:49,10.90,62.30
2022-11-26,01:13:50,10.90,62.20
2022-11-26,01:18:50,10.90,62.20
2022-11-26,01:23:50,10.90,62.10
2022-11-26,01:28:51,10.90,62.00
2022-11-26,01:33:51,10.90,61.60
2022-11-26,01:38:52,10.90,62.10
2022-11-26,01:43:52,11.00,62.10
2022-11-26,01:48:52,11.00,62.10
2022-11-26,01:53:53,11.00,62.20
2022-11-26,01:58:53,11.10,62.00
2022-11-26,02:03:54,11.00,62.10
2022-11-26,02:08:54,11.00,62.00
2022-11-26,02:13:55,10.90,61.90
2022-11-26,02:18:55,10.90,62.60
2022-11-26,02:23:55,10.90,62.00
2022-11-26,02:28:55,11.00,62.20
2022-11-26,02:33:56,11.00,62.20
2022-11-26,02:38:56,11.00,62.50
2022-11-26,02:43:57,11.00,62.50
2022-11-26,02:48:58,11.00,62.30
2022-11-26,02:53:58,11.00,62.50
2022-11-26,02:58:58,11.00,62.60
2022-11-26,03:03:59,11.00,62.80
2022-11-26,03:08:59,11.00,62.60
2022-11-26,03:14:00,11.00,62.90
2022-11-26,03:19:00,11.10,62.80
2022-11-26,03:24:00,11.10,62.40
2022-11-26,03:29:00,11.10,62.80
2022-11-26,03:34:01,11.10,62.70
2022-11-26,03:39:01,11.00,63.00
2022-11-26,03:44:02,11.00,63.00
2022-11-26,03:49:02,11.00,63.00
2022-11-26,03:54:03,10.90,63.00
2022-11-26,03:59:03,11.00,63.20
2022-11-26,04:04:03,11.00,63.10
2022-11-26,04:09:04,11.00,63.20
2022-11-26,04:14:04,11.00,63.30
2022-11-26,04:19:05,10.90,63.30
2022-11-26,04:24:05,10.90,63.50
2022-11-26,04:29:05,10.90,63.70
2022-11-26,04:34:06,10.90,63.60
2022-11-26,04:39:06,10.90,63.90
2022-11-26,04:44:07,10.90,63.90
2022-11-26,04:49:07,10.90,63.80
2022-11-26,04:54:08,10.80,64.00
2022-11-26,04:59:08,10.70,64.20
2022-11-26,05:04:08,10.70,64.40
2022-11-26,05:09:08,10.70,64.30
2022-11-26,05:14:08,10.80,64.20
2022-11-26,05:19:09,10.80,64.10
2022-11-26,05:24:10,10.80,64.20
2022-11-26,05:29:10,10.80,64.10
2022-11-26,05:34:10,10.70,64.20
2022-11-26,05:39:10,10.70,64.40
2022-11-26,05:44:11,10.70,64.40
2022-11-26,05:49:11,10.60,64.40
2022-11-26,05:54:12,10.60,64.70
2022-11-26,05:59:12,10.50,64.70
2022-11-26,06:04:12,10.60,64.70
2022-11-26,06:09:13,10.60,64.80
2022-11-26,06:14:13,10.50,64.90
2022-11-26,06:19:13,10.50,64.80
2022-11-26,06:24:14,10.50,64.80
2022-11-26,06:29:14,10.50,64.80
2022-11-26,06:34:14,10.50,64.90
2022-11-26,06:39:15,10.40,65.00
2022-11-26,06:44:15,10.40,65.20
2022-11-26,06:49:16,10.40,65.00
2022-11-26,06:54:16,10.40,65.00
2022-11-26,06:59:17,10.30,65.30
2022-11-26,07:04:17,10.30,65.30
2022-11-26,07:09:17,10.40,65.10
2022-11-26,07:14:17,10.40,65.10
2022-11-26,07:19:18,10.30,65.10
2022-11-26,07:24:18,10.30,65.20
2022-11-26,07:29:19,10.30,65.10
2022-11-26,07:34:19,10.30,65.30
2022-11-26,07:39:19,10.40,65.10
2022-11-26,07:44:19,10.40,65.00
2022-11-26,07:49:20,10.40,65.00
2022-11-26,07:54:20,10.50,64.90
2022-11-26,07:59:21,10.70,64.50
2022-11-26,08:04:21,10.90,64.20
2022-11-26,08:09:22,11.00,63.40
2022-11-26,08:14:22,11.10,62.10
2022-11-26,08:19:23,11.40,62.30
2022-11-26,08:24:23,11.60,59.30
2022-11-26,08:29:23,11.90,59.70
2022-11-26,08:34:24,12.10,58.80
2022-11-26,08:39:24,12.40,58.70
2022-11-26,08:44:24,12.70,58.20
2022-11-26,08:49:24,12.90,56.50
2022-11-26,08:54:25,13.10,56.60
2022-11-26,08:59:25,13.30,56.10
2022-11-26,09:04:26,13.40,56.10
2022-11-26,09:09:26,13.60,55.40
2022-11-26,09:14:26,13.80,55.60
2022-11-26,09:19:27,14.00,54.80
2022-11-26,09:24:27,14.30,53.90
2022-11-26,09:29:28,14.50,53.60
2022-11-26,09:34:28,14.70,52.00
2022-11-26,09:39:29,14.90,50.70
2022-11-26,09:44:29,15.00,52.40
2022-11-26,09:49:29,15.30,51.20
2022-11-26,09:54:30,15.40,51.40
2022-11-26,09:59:30,15.60,50.80
2022-11-26,10:04:31,15.70,50.70
2022-11-26,10:09:31,15.80,51.00
2022-11-26,10:14:31,16.00,50.70
2022-11-26,10:19:32,16.10,50.30
2022-11-26,10:24:32,16.20,50.00
2022-11-26,10:29:33,16.20,50.10
2022-11-26,10:34:33,16.20,47.80
2022-11-26,10:39:33,16.10,47.70
2022-11-26,10:44:34,16.00,46.00
2022-11-26,10:49:34,15.90,46.50
2022-11-26,10:54:35,15.80,45.80
2022-11-26,10:59:35,15.70,44.50
2022-11-26,11:04:35,15.60,45.00
2022-11-26,11:09:36,15.60,44.40
2022-11-26,11:14:36,15.70,43.60
2022-11-26,11:19:37,15.70,43.90
2022-11-26,11:24:37,15.60,43.90
2022-11-26,11:29:37,15.40,43.80
2022-11-26,11:34:38,15.40,44.50
2022-11-26,11:39:38,15.50,43.70
2022-11-26,11:44:39,15.60,43.80
2022-11-26,11:49:39,15.60,44.60
2022-11-26,11:54:40,15.50,44.10
2022-11-26,11:59:40,15.40,44.50
2022-11-26,12:04:40,15.40,43.90
2022-11-26,12:09:41,15.40,44.00
2022-11-26,12:14:41,15.40,43.00
2022-11-26,12:19:41,15.60,43.80
2022-11-26,12:24:42,15.60,41.80
2022-11-26,12:29:42,15.50,41.80
2022-11-26,12:34:43,15.40,42.50
2022-11-26,12:39:43,15.40,42.20
2022-11-26,12:44:44,15.50,42.20
2022-11-26,12:49:44,15.60,42.10
2022-11-26,12:54:45,15.60,42.10
2022-11-26,12:59:45,15.60,41.60
2022-11-26,13:04:46,15.60,42.20
2022-11-26,13:09:46,15.60,42.00
2022-11-26,13:14:47,15.70,41.70
2022-11-26,13:19:47,15.70,41.80
2022-11-26,13:24:48,15.80,41.90
2022-11-26,13:29:48,15.70,41.40
2022-11-26,13:34:48,15.70,41.70
2022-11-26,13:39:49,15.70,40.40
2022-11-26,13:44:49,15.60,40.90
2022-11-26,13:49:50,15.60,40.70
2022-11-26,13:54:50,15.50,39.80
2022-11-26,13:59:51,15.50,39.80
2022-11-26,14:04:51,15.50,40.40
2022-11-26,14:09:52,15.50,40.50
2022-11-26,14:14:52,15.50,40.90
2022-11-26,14:19:52,15.40,40.50
2022-11-26,14:24:53,15.50,41.50
2022-11-26,14:29:53,15.50,41.00
2022-11-26,14:34:53,15.40,40.70
2022-11-26,14:39:53,15.40,40.30
2022-11-26,14:44:54,15.30,39.40
2022-11-26,14:49:54,15.20,39.40
2022-11-26,14:54:54,15.10,40.10
2022-11-26,14:59:55,15.10,39.60
2022-11-26,15:04:56,15.00,41.50
2022-11-26,15:09:56,15.10,40.80
2022-11-26,15:14:56,15.10,39.90
2022-11-26,15:19:57,15.10,40.30
2022-11-26,15:24:57,15.10,39.70
2022-11-26,15:29:58,15.00,39.10
2022-11-26,15:34:58,14.90,38.90
2022-11-26,15:39:59,15.00,38.40
2022-11-26,15:44:59,15.00,39.20
2022-11-26,15:49:59,15.00,39.20
2022-11-26,15:55:00,15.20,42.10
2022-11-26,16:00:00,15.30,41.50
2022-11-26,16:05:01,15.30,41.50
2022-11-26,16:10:01,15.40,41.20
2022-11-26,16:15:01,15.40,41.80
2022-11-26,16:20:02,15.40,41.80
2022-11-26,16:25:02,15.30,41.70
2022-11-26,16:30:02,15.20,41.80
2022-11-26,16:35:04,15.20,42.20
2022-11-26,16:40:05,15.10,41.90
2022-11-26,16:45:05,15.00,41.90
2022-11-26,16:50:06,14.90,42.90
2022-11-26,16:55:06,14.80,42.90
2022-11-26,17:00:06,14.60,41.90
2022-11-26,17:05:07,14.30,43.60
2022-11-26,17:10:07,14.10,45.60
2022-11-26,17:15:07,13.80,45.50
2022-11-26,17:20:08,13.60,45.70
2022-11-26,17:25:08,13.30,44.80
2022-11-26,17:30:09,12.90,45.00
2022-11-26,17:35:09,12.80,45.90
2022-11-26,17:40:10,12.60,45.70
2022-11-26,17:45:10,12.60,46.20
2022-11-26,17:50:10,12.60,45.80
2022-11-26,17:55:11,12.50,45.40
2022-11-26,18:00:11,12.50,47.50
2022-11-26,18:05:11,12.50,47.60
2022-11-26,18:10:12,12.50,47.30
2022-11-26,18:15:12,12.50,50.80
2022-11-26,18:20:13,12.40,49.60
2022-11-26,18:25:13,12.30,49.90
