날짜,시간,온도,습도
2022-12-08,00:00:51,7.60,63.20
2022-12-08,00:05:51,7.60,63.10
2022-12-08,00:10:52,7.50,62.90
2022-12-08,00:15:52,7.50,63.10
2022-12-08,00:20:52,7.60,62.90
2022-12-08,00:25:53,7.60,63.20
2022-12-08,00:30:53,7.50,62.90
2022-12-08,00:35:53,7.50,63.20
2022-12-08,00:40:54,7.50,63.10
2022-12-08,00:45:54,7.40,63.10
2022-12-08,00:50:54,7.30,62.90
2022-12-08,00:55:55,7.30,63.50
2022-12-08,01:00:55,7.20,63.30
2022-12-08,01:05:55,7.20,63.10
2022-12-08,01:10:56,7.20,63.10
2022-12-08,01:15:56,7.20,62.90
2022-12-08,01:20:56,7.10,62.70
2022-12-08,01:25:57,7.10,62.80
2022-12-08,01:30:57,7.00,62.80
2022-12-08,01:35:58,7.00,63.20
2022-12-08,01:40:58,7.10,63.60
2022-12-08,01:45:58,7.10,63.80
2022-12-08,01:50:59,7.10,64.00
2022-12-08,01:55:59,7.20,64.10
2022-12-08,02:01:00,7.20,64.10
2022-12-08,02:06:00,7.20,64.30
2022-12-08,02:11:00,7.20,64.60
2022-12-08,02:16:01,7.20,64.70
2022-12-08,02:21:01,7.20,64.70
2022-12-08,02:26:01,7.20,64.70
2022-12-08,02:31:02,7.20,64.70
2022-12-08,02:36:02,7.10,64.90
2022-12-08,02:41:03,7.20,65.10
2022-12-08,02:46:03,7.20,64.90
2022-12-08,02:51:03,7.10,65.30
2022-12-08,02:56:04,7.00,64.80
2022-12-08,03:01:04,7.00,65.20
2022-12-08,03:06:04,7.00,64.60
2022-12-08,03:11:05,7.00,65.70
2022-12-08,03:16:05,7.00,65.50
2022-12-08,03:21:05,7.00,65.70
2022-12-08,03:26:06,6.70,64.30
2022-12-08,03:31:06,6.50,65.00
2022-12-08,03:36:06,6.50,66.80
2022-12-08,03:41:07,6.70,66.50
2022-12-08,03:46:07,6.80,66.30
2022-12-08,03:51:07,6.80,66.00
2022-12-08,03:56:07,6.80,66.30
2022-12-08,04:01:08,6.80,66.10
2022-12-08,04:06:08,6.80,66.00
