날짜,시간,온도,습도
2022-12-21,00:04:09,2.80,72.10
2022-12-21,00:09:10,2.80,72.60
2022-12-21,00:14:10,2.90,72.50
2022-12-21,00:19:10,2.80,70.70
2022-12-21,00:24:10,2.80,72.70
2022-12-21,00:29:11,2.80,71.80
2022-12-21,00:34:11,2.80,71.40
2022-12-21,00:39:11,2.80,72.00
2022-12-21,00:44:12,2.80,72.70
2022-12-21,00:49:12,2.70,71.00
2022-12-21,00:54:13,2.50,70.20
2022-12-21,00:59:13,2.50,70.50
2022-12-21,01:04:14,2.30,69.90
2022-12-21,01:09:14,2.20,69.60
2022-12-21,01:14:14,2.10,69.20
2022-12-21,01:19:15,2.00,69.20
2022-12-21,01:24:15,2.00,69.20
2022-12-21,01:29:15,2.00,69.20
2022-12-21,01:34:16,2.10,69.10
2022-12-21,01:39:16,2.20,70.10
2022-12-21,01:44:16,2.40,70.30
2022-12-21,01:49:17,2.50,71.00
2022-12-21,01:54:17,2.50,71.30
2022-12-21,01:59:17,2.50,71.20
2022-12-21,02:04:18,2.50,71.00
2022-12-21,02:09:18,2.40,70.40
2022-12-21,02:14:18,2.30,69.20
2022-12-21,02:19:19,2.20,69.70
2022-12-21,02:24:19,2.10,69.10
2022-12-21,02:29:19,2.00,67.80
2022-12-21,02:34:20,1.90,68.00
2022-12-21,02:39:20,1.90,68.10
2022-12-21,02:44:21,1.70,67.60
2022-12-21,02:49:21,1.70,67.60
2022-12-21,02:54:21,1.80,68.10
2022-12-21,02:59:22,1.80,67.50
2022-12-21,03:04:22,1.70,67.00
2022-12-21,03:09:23,1.80,67.80
2022-12-21,03:14:23,1.90,68.60
2022-12-21,03:19:23,2.00,68.70
2022-12-21,03:24:23,2.00,68.10
2022-12-21,03:29:24,2.00,68.90
2022-12-21,03:34:24,2.00,68.30
2022-12-21,03:39:25,2.00,68.70
2022-12-21,03:44:25,2.00,68.00
2022-12-21,03:49:25,1.90,69.00
2022-12-21,03:54:26,1.80,67.90
2022-12-21,03:59:26,1.90,70.50
2022-12-21,04:04:27,2.00,70.30
2022-12-21,04:09:27,2.00,70.50
2022-12-21,04:14:27,2.10,70.70
2022-12-21,04:19:27,2.20,70.40
2022-12-21,04:24:28,2.20,71.00
2022-12-21,04:29:28,2.20,71.00
2022-12-21,04:34:28,2.30,70.20
2022-12-21,04:39:29,2.30,69.90
2022-12-21,04:44:29,2.30,70.70
2022-12-21,04:49:29,2.30,71.10
2022-12-21,04:54:30,2.30,70.10
2022-12-21,04:59:30,2.20,69.90
2022-12-21,05:04:30,2.20,70.50
2022-12-21,05:09:31,2.30,69.70
2022-12-21,05:14:31,2.40,70.50
2022-12-21,05:19:31,2.40,70.70
2022-12-21,05:24:32,2.40,70.50
2022-12-21,05:29:32,2.40,70.70
2022-12-21,05:34:33,2.40,70.80
2022-12-21,05:39:33,2.50,70.60
2022-12-21,05:44:33,2.60,71.00
2022-12-21,05:49:33,2.60,69.10
2022-12-21,05:54:34,2.50,71.30
2022-12-21,05:59:34,2.50,71.70
2022-12-21,06:04:34,2.50,71.90
2022-12-21,06:09:35,2.50,71.70
2022-12-21,06:14:35,2.50,72.20
2022-12-21,06:19:36,2.60,72.20
2022-12-21,06:24:36,2.50,71.30
2022-12-21,06:29:36,2.30,73.20
2022-12-21,06:34:37,2.10,71.80
2022-12-21,06:39:37,2.20,74.00
2022-12-21,06:44:37,2.30,72.60
2022-12-21,06:49:38,2.40,73.40
2022-12-21,06:54:38,2.30,72.80
2022-12-21,06:59:39,2.30,73.40
2022-12-21,07:04:39,2.30,73.00
2022-12-21,07:09:39,2.30,73.40
2022-12-21,07:14:39,2.40,73.80
2022-12-21,07:19:40,2.40,74.00
2022-12-21,07:24:40,2.40,74.10
2022-12-21,07:29:40,2.40,73.70
2022-12-21,07:34:41,2.30,73.60
2022-12-21,07:39:41,2.30,74.10
2022-12-21,07:44:41,2.30,74.20
