날짜,시간,온도,습도
2022-12-18,00:04:01,-2.69,63.50
2022-12-18,00:09:02,-2.89,63.20
2022-12-18,00:14:02,-2.99,62.80
2022-12-18,00:19:02,-2.89,63.80
2022-12-18,00:24:03,-2.89,63.20
2022-12-18,00:29:03,-2.99,61.90
2022-12-18,00:34:04,-3.09,62.90
2022-12-18,00:39:04,-3.09,63.50
2022-12-18,00:44:05,-2.99,64.30
2022-12-18,00:49:05,-2.99,63.00
2022-12-18,00:54:05,-3.09,63.80
2022-12-18,00:59:06,-2.99,64.60
2022-12-18,01:04:06,-2.89,64.60
2022-12-18,01:09:07,-2.99,64.50
2022-12-18,01:14:07,-2.89,64.70
2022-12-18,01:19:08,-2.99,64.80
2022-12-18,01:24:08,-2.89,64.90
2022-12-18,01:29:08,-2.89,64.80
2022-12-18,01:34:09,-2.79,65.10
2022-12-18,01:39:09,-2.99,64.90
2022-12-18,01:44:10,-2.99,64.40
2022-12-18,01:49:10,-2.99,65.70
2022-12-18,01:54:10,-3.09,64.90
2022-12-18,01:59:11,-3.09,63.90
2022-12-18,02:04:11,-2.99,65.60
2022-12-18,02:09:11,-3.09,64.20
2022-12-18,02:14:12,-3.09,64.00
2022-12-18,02:19:12,-3.09,64.90
2022-12-18,02:24:12,-3.09,65.70
2022-12-18,02:29:12,-2.99,65.70
2022-12-18,02:34:13,-2.89,65.50
2022-12-18,02:39:13,-2.79,65.90
2022-12-18,02:44:13,-2.79,67.60
2022-12-18,02:49:14,-2.49,68.10
2022-12-18,02:54:14,-2.49,66.90
2022-12-18,02:59:15,-2.49,67.70
2022-12-18,03:04:15,-2.59,67.50
2022-12-18,03:09:16,-2.59,68.00
2022-12-18,03:14:16,-2.69,67.80
2022-12-18,03:19:17,-2.69,69.10
2022-12-18,03:24:17,-2.59,66.50
2022-12-18,03:29:17,-2.49,68.40
2022-12-18,03:34:17,-2.49,69.60
2022-12-18,03:39:18,-2.39,70.30
2022-12-18,03:44:18,-2.39,70.10
2022-12-18,03:49:18,-2.29,70.20
2022-12-18,03:54:18,-2.39,67.40
2022-12-18,03:59:19,-2.49,69.50
2022-12-18,04:04:19,-2.49,70.70
2022-12-18,04:09:19,-2.49,68.50
2022-12-18,04:14:20,-2.49,71.20
2022-12-18,04:19:20,-2.69,68.70
2022-12-18,04:24:20,-2.79,68.80
2022-12-18,04:29:21,-2.69,68.90
2022-12-18,04:34:21,-2.59,71.50
2022-12-18,04:39:22,-2.49,69.90
2022-12-18,04:44:22,-2.39,71.50
2022-12-18,04:49:23,-2.29,70.60
2022-12-18,04:54:23,-2.29,71.70
2022-12-18,04:59:23,-2.29,71.70
2022-12-18,05:04:23,-2.29,70.90
2022-12-18,05:09:24,-2.39,70.40
2022-12-18,05:14:24,-2.49,70.80
2022-12-18,05:19:25,-2.39,71.00
2022-12-18,05:24:25,-2.39,71.20
2022-12-18,05:29:25,-2.39,71.00
2022-12-18,05:34:26,-2.29,71.60
2022-12-18,05:39:26,-2.29,71.30
2022-12-18,05:44:26,-2.29,71.20
2022-12-18,05:49:27,-2.49,70.20
2022-12-18,05:54:27,-2.59,70.00
2022-12-18,05:59:27,-2.69,70.40
2022-12-18,06:04:28,-2.69,70.40
2022-12-18,06:09:28,-2.69,70.50
2022-12-18,06:14:28,-2.69,70.50
2022-12-18,06:19:29,-2.59,70.70
2022-12-18,06:24:29,-2.49,71.00
2022-12-18,06:29:29,-2.59,70.40
2022-12-18,06:34:30,-2.69,69.60
2022-12-18,06:39:30,-2.79,69.00
2022-12-18,06:44:31,-2.99,68.10
2022-12-18,06:49:31,-3.19,68.40
2022-12-18,06:54:31,-3.09,69.20
2022-12-18,06:59:32,-3.19,69.00
2022-12-18,07:04:32,-3.29,68.10
2022-12-18,07:09:33,-3.39,68.60
2022-12-18,07:14:33,-3.39,68.90
2022-12-18,07:19:34,-3.49,68.80
2022-12-18,07:24:34,-3.49,68.90
2022-12-18,07:29:35,-3.49,68.50
2022-12-18,07:34:35,-3.59,67.90
2022-12-18,07:39:35,-3.59,68.80
2022-12-18,07:44:36,-3.49,69.40
2022-12-18,07:49:36,-3.39,69.60
2022-12-18,07:54:36,-3.29,70.20
2022-12-18,07:59:36,-3.19,70.40
2022-12-18,08:04:37,-3.09,70.40
2022-12-18,08:09:37,-2.99,70.70
2022-12-18,08:14:37,-2.89,69.80
2022-12-18,08:19:37,-2.59,73.50
2022-12-18,08:24:38,-2.39,74.40
2022-12-18,08:29:38,-2.09,75.60
2022-12-18,08:34:38,-1.79,76.10
2022-12-18,08:39:39,-1.49,77.10
2022-12-18,08:44:39,-1.19,77.50
2022-12-18,08:49:40,-0.99,77.30
2022-12-18,08:54:40,-0.79,77.40
2022-12-18,08:59:40,-0.79,75.40
2022-12-18,09:04:41,-0.49,76.20
2022-12-18,09:09:41,-0.29,75.50
2022-12-18,09:14:42,-0.29,73.70
2022-12-18,09:19:42,-0.19,73.50
2022-12-18,09:24:43,-0.09,72.50
2022-12-18,09:29:43,0.10,72.20
2022-12-18,09:34:44,0.20,71.10
2022-12-18,09:39:44,0.40,70.60
2022-12-18,09:44:45,0.50,70.20
2022-12-18,09:49:45,0.40,66.80
2022-12-18,09:54:45,0.50,68.60
2022-12-18,09:59:46,0.80,68.70
2022-12-18,10:04:46,1.00,69.30
2022-12-18,10:09:47,1.10,66.10
2022-12-18,10:14:47,1.30,68.50
2022-12-18,10:19:48,1.60,68.90
2022-12-18,10:24:48,1.70,66.90
