날짜,시간,온도,습도
2022-12-12,00:02:49,5.30,63.50
2022-12-12,00:07:50,5.00,64.00
2022-12-12,00:12:50,4.90,64.10
2022-12-12,00:17:50,4.80,64.30
2022-12-12,00:22:50,4.80,64.90
2022-12-12,00:27:50,5.10,66.30
2022-12-12,00:32:51,5.40,65.70
2022-12-12,00:37:51,5.70,65.50
2022-12-12,00:42:52,5.80,65.00
2022-12-12,00:47:52,5.60,63.20
2022-12-12,00:52:53,5.40,64.70
2022-12-12,00:57:53,5.30,64.10
2022-12-12,01:02:53,4.90,65.80
2022-12-12,01:07:54,4.70,66.20
2022-12-12,01:12:54,4.80,67.60
2022-12-12,01:17:55,5.00,67.00
2022-12-12,01:22:55,5.10,65.70
2022-12-12,01:27:55,5.00,66.50
2022-12-12,01:32:56,4.90,66.10
2022-12-12,01:37:56,5.10,67.80
2022-12-12,01:42:57,5.40,67.50
2022-12-12,01:47:57,5.50,67.00
2022-12-12,01:52:57,5.60,66.80
2022-12-12,01:57:58,5.70,66.50
2022-12-12,02:02:58,5.70,66.90
2022-12-12,02:07:58,5.70,67.00
2022-12-12,02:12:59,5.80,66.10
2022-12-12,02:17:59,5.70,66.50
2022-12-12,02:23:00,5.50,65.60
2022-12-12,02:28:00,5.40,67.40
2022-12-12,02:33:01,5.50,67.00
2022-12-12,02:38:01,5.60,67.50
2022-12-12,02:43:01,5.40,65.90
2022-12-12,02:48:02,5.20,66.10
2022-12-12,02:53:02,5.10,66.20
2022-12-12,02:58:03,4.80,66.30
2022-12-12,03:03:03,4.50,66.00
2022-12-12,03:08:04,4.30,67.10
2022-12-12,03:13:04,3.90,66.70
2022-12-12,03:18:04,4.10,67.70
2022-12-12,03:23:05,3.90,66.70
2022-12-12,03:28:05,3.70,67.20
2022-12-12,03:33:06,3.60,67.30
2022-12-12,03:38:06,3.60,67.50
2022-12-12,03:43:06,3.70,67.60
2022-12-12,03:48:07,3.80,67.40
2022-12-12,03:53:07,4.00,67.20
2022-12-12,03:58:07,4.20,67.30
2022-12-12,04:03:07,4.10,67.80
2022-12-12,04:08:08,4.10,67.80
2022-12-12,04:13:08,4.10,67.80
2022-12-12,04:18:08,4.40,68.40
2022-12-12,04:23:08,4.60,68.60
2022-12-12,04:28:08,4.80,68.00
2022-12-12,04:33:09,5.00,66.80
2022-12-12,04:38:09,5.10,67.70
2022-12-12,04:43:09,5.30,67.50
2022-12-12,04:48:10,5.40,67.50
2022-12-12,04:53:10,5.20,65.40
2022-12-12,04:58:10,4.80,66.30
2022-12-12,05:03:11,4.80,66.50
2022-12-12,05:08:12,4.60,66.70
2022-12-12,05:13:12,4.90,68.80
2022-12-12,05:18:13,5.10,68.20
2022-12-12,05:23:13,5.00,66.40
2022-12-12,05:28:13,5.20,68.20
2022-12-12,05:33:14,5.30,67.60
2022-12-12,05:38:14,5.40,67.50
2022-12-12,05:43:15,5.40,67.70
2022-12-12,05:48:15,5.40,67.30
2022-12-12,05:53:15,5.30,67.00
2022-12-12,05:58:16,5.30,67.30
2022-12-12,06:03:16,5.30,67.30
2022-12-12,06:08:17,5.30,67.50
2022-12-12,06:13:17,5.10,65.80
2022-12-12,06:18:17,4.90,67.30
2022-12-12,06:23:18,4.60,66.60
2022-12-12,06:28:18,4.40,66.90
2022-12-12,06:33:18,4.40,69.70
2022-12-12,06:38:19,4.40,68.50
2022-12-12,06:43:19,4.60,68.40
2022-12-12,06:48:19,4.40,67.40
2022-12-12,06:53:20,4.50,67.60
2022-12-12,06:58:20,4.40,69.20
2022-12-12,07:03:21,4.80,69.10
2022-12-12,07:08:21,5.00,68.60
