날짜,시간,온도,습도
2022-12-30,00:04:33,1.40,72.40
2022-12-30,00:09:33,1.20,70.30
2022-12-30,00:14:33,1.10,70.80
2022-12-30,00:19:33,1.00,69.70
2022-12-30,00:24:34,0.90,70.30
2022-12-30,00:29:34,0.80,70.50
2022-12-30,00:34:34,1.00,71.20
2022-12-30,00:39:35,1.00,72.00
2022-12-30,00:44:35,1.10,72.20
2022-12-30,00:49:35,1.10,72.30
2022-12-30,00:54:35,1.20,72.50
2022-12-30,00:59:36,1.10,72.40
2022-12-30,01:04:37,1.10,72.00
2022-12-30,01:09:37,1.10,72.20
2022-12-30,01:14:37,1.00,71.70
2022-12-30,01:19:38,1.00,71.70
2022-12-30,01:24:38,1.00,72.50
2022-12-30,01:29:39,1.00,71.00
2022-12-30,01:34:39,1.00,72.30
2022-12-30,01:39:39,1.00,72.60
2022-12-30,01:44:40,1.00,72.40
2022-12-30,01:49:40,1.00,72.10
2022-12-30,01:54:40,1.00,72.60
2022-12-30,01:59:41,1.20,72.50
2022-12-30,02:04:41,1.10,71.40
2022-12-30,02:09:41,1.00,71.30
2022-12-30,02:14:42,0.90,72.00
2022-12-30,02:19:42,0.80,70.90
2022-12-30,02:24:43,0.80,71.60
2022-12-30,02:29:43,0.90,71.50
2022-12-30,02:34:43,0.80,71.50
2022-12-30,02:39:43,0.80,72.00
2022-12-30,02:44:44,0.90,73.00
2022-12-30,02:49:44,1.00,72.40
2022-12-30,02:54:45,0.80,71.90
2022-12-30,02:59:45,0.80,71.70
2022-12-30,03:04:45,0.80,72.70
2022-12-30,03:09:46,0.80,72.60
2022-12-30,03:14:46,0.90,72.90
2022-12-30,03:19:46,0.90,72.70
2022-12-30,03:24:47,0.80,71.60
2022-12-30,03:29:47,0.60,71.70
2022-12-30,03:34:47,0.60,71.60
2022-12-30,03:39:48,0.60,72.60
2022-12-30,03:44:48,0.70,72.80
2022-12-30,03:49:49,0.60,72.20
2022-12-30,03:54:49,0.50,70.90
2022-12-30,03:59:50,0.40,71.70
2022-12-30,04:04:50,0.30,70.90
2022-12-30,04:09:50,0.30,71.60
2022-12-30,04:14:51,0.40,72.50
2022-12-30,04:19:51,0.40,71.80
2022-12-30,04:24:51,0.40,71.50
2022-12-30,04:29:52,0.40,71.10
2022-12-30,04:34:52,0.30,71.00
2022-12-30,04:39:52,0.20,71.30
2022-12-30,04:44:53,0.30,71.50
2022-12-30,04:49:53,0.30,72.20
2022-12-30,04:54:53,0.40,72.00
2022-12-30,04:59:53,0.50,72.50
2022-12-30,05:04:53,0.50,72.70
2022-12-30,05:09:54,0.60,73.40
2022-12-30,05:14:54,0.70,73.40
2022-12-30,05:19:55,0.70,73.80
2022-12-30,05:24:55,0.80,73.80
2022-12-30,05:29:56,0.70,73.50
2022-12-30,05:34:56,0.80,73.90
2022-12-30,05:39:56,0.80,73.70
2022-12-30,05:44:57,0.70,72.80
2022-12-30,05:49:57,0.70,73.90
2022-12-30,05:54:57,0.80,73.80
2022-12-30,05:59:58,0.90,74.20
