날짜,시간,온도,습도
2022-12-28,00:01:19,2.80,70.00
2022-12-28,00:06:19,2.70,69.70
2022-12-28,00:11:20,2.70,70.20
2022-12-28,00:16:20,2.70,70.90
2022-12-28,00:21:20,2.70,71.40
2022-12-28,00:26:21,2.50,68.40
2022-12-28,00:31:21,2.50,72.80
2022-12-28,00:36:21,2.70,73.10
2022-12-28,00:41:22,2.70,70.00
2022-12-28,00:46:22,2.40,69.30
2022-12-28,00:51:22,2.30,70.60
2022-12-28,00:56:23,2.10,68.90
2022-12-28,01:01:23,2.20,73.00
2022-12-28,01:06:23,2.30,70.50
2022-12-28,01:11:24,2.30,72.20
2022-12-28,01:16:24,2.30,71.30
2022-12-28,01:21:24,2.00,69.10
2022-12-28,01:26:24,2.00,69.70
2022-12-28,01:31:25,2.30,72.80
2022-12-28,01:36:25,2.20,69.80
2022-12-28,01:41:25,2.30,72.70
2022-12-28,01:46:25,2.30,72.40
2022-12-28,01:51:26,2.40,71.90
2022-12-28,01:56:26,2.50,72.60
2022-12-28,02:01:26,2.50,73.80
2022-12-28,02:06:26,2.60,73.90
2022-12-28,02:11:27,2.60,74.10
2022-12-28,02:16:27,2.60,74.30
2022-12-28,02:21:27,2.60,74.10
2022-12-28,02:26:27,2.60,73.00
2022-12-28,02:31:28,2.70,74.60
2022-12-28,02:36:28,2.70,74.50
2022-12-28,02:41:29,2.60,74.30
2022-12-28,02:46:29,2.60,74.20
2022-12-28,02:51:29,2.60,73.60
2022-12-28,02:56:29,2.50,74.10
2022-12-28,03:01:29,2.50,73.90
2022-12-28,03:06:30,2.30,73.20
2022-12-28,03:11:30,2.30,73.00
2022-12-28,03:16:31,2.30,72.90
2022-12-28,03:21:31,2.10,70.80
2022-12-28,03:26:31,2.10,74.00
2022-12-28,03:31:31,2.20,74.10
2022-12-28,03:36:32,2.30,74.40
2022-12-28,03:41:32,2.30,74.10
2022-12-28,03:46:32,2.30,74.30
2022-12-28,03:51:33,2.40,74.30
2022-12-28,03:56:33,2.30,74.10
2022-12-28,04:01:34,2.30,73.70
2022-12-28,04:06:34,2.30,74.00
2022-12-28,04:11:34,2.20,71.30
2022-12-28,04:16:35,1.80,72.30
2022-12-28,04:21:35,1.40,73.20
2022-12-28,04:26:35,1.10,72.60
2022-12-28,04:31:36,1.00,73.30
2022-12-28,04:36:36,1.30,74.30
2022-12-28,04:41:37,0.90,71.80
2022-12-28,04:46:37,0.70,74.80
2022-12-28,04:51:37,0.70,74.50
2022-12-28,04:56:37,0.90,73.60
2022-12-28,05:01:38,1.20,75.90
2022-12-28,05:06:38,1.40,75.70
2022-12-28,05:11:39,1.40,74.90
2022-12-28,05:16:39,1.50,74.80
2022-12-28,05:21:39,1.50,74.60
2022-12-28,05:26:40,1.50,75.10
2022-12-28,05:31:40,1.60,74.80
2022-12-28,05:36:40,1.60,74.90
2022-12-28,05:41:41,1.60,74.50
2022-12-28,05:46:41,1.70,74.80
2022-12-28,05:51:41,1.70,74.90
