날짜,시간,온도,습도
2022-12-02,00:00:24,3.10,61.30
2022-12-02,00:05:25,2.90,58.80
2022-12-02,00:10:25,2.90,61.70
2022-12-02,00:15:26,2.90,61.60
2022-12-02,00:20:26,3.00,62.50
2022-12-02,00:25:27,2.80,60.50
2022-12-02,00:30:27,3.00,63.50
2022-12-02,00:35:27,2.90,63.20
2022-12-02,00:40:28,3.10,63.50
2022-12-02,00:45:28,3.20,63.40
2022-12-02,00:50:28,3.30,63.60
2022-12-02,00:55:28,3.30,63.30
2022-12-02,01:00:29,3.20,62.20
2022-12-02,01:05:29,3.20,63.10
2022-12-02,01:10:30,3.30,64.50
2022-12-02,01:15:30,3.40,61.90
2022-12-02,01:20:31,3.20,60.80
2022-12-02,01:25:31,2.60,59.00
2022-12-02,01:30:31,2.80,64.70
2022-12-02,01:35:32,3.00,64.10
2022-12-02,01:40:32,3.10,64.30
2022-12-02,01:45:32,3.00,64.30
2022-12-02,01:50:33,3.00,63.10
2022-12-02,01:55:33,3.00,63.40
2022-12-02,02:00:34,3.10,64.10
2022-12-02,02:05:34,3.10,64.00
2022-12-02,02:10:35,3.10,63.90
2022-12-02,02:15:35,3.00,63.10
2022-12-02,02:20:35,3.00,63.40
2022-12-02,02:25:36,3.00,64.10
2022-12-02,02:30:36,3.10,64.00
2022-12-02,02:35:37,3.10,63.60
2022-12-02,02:40:37,3.00,62.80
2022-12-02,02:45:37,3.00,64.40
2022-12-02,02:50:37,3.10,64.50
2022-12-02,02:55:38,3.10,64.00
2022-12-02,03:00:38,3.00,63.20
2022-12-02,03:05:39,3.10,64.20
2022-12-02,03:10:39,3.20,64.40
2022-12-02,03:15:40,3.20,64.30
2022-12-02,03:20:40,3.20,64.30
2022-12-02,03:25:40,3.30,64.60
2022-12-02,03:30:41,3.40,64.70
2022-12-02,03:35:41,3.40,65.00
2022-12-02,03:40:41,3.50,65.00
2022-12-02,03:45:42,3.50,65.10
2022-12-02,03:50:42,3.40,65.10
2022-12-02,03:55:43,3.40,64.60
2022-12-02,04:00:43,3.30,64.70
2022-12-02,04:05:44,3.30,64.80
2022-12-02,04:10:44,3.20,64.20
2022-12-02,04:15:45,3.20,64.30
2022-12-02,04:20:45,3.20,64.50
2022-12-02,04:25:45,3.20,64.80
2022-12-02,04:30:46,3.20,64.60
2022-12-02,04:35:46,3.10,64.60
2022-12-02,04:40:47,3.10,64.70
2022-12-02,04:45:47,2.90,64.30
2022-12-02,04:50:47,2.90,64.40
2022-12-02,04:55:48,2.90,64.60
2022-12-02,05:00:48,2.80,64.70
2022-12-02,05:05:48,2.80,65.00
2022-12-02,05:10:49,2.90,65.10
2022-12-02,05:15:49,2.90,65.00
2022-12-02,05:20:49,2.80,65.10
2022-12-02,05:25:50,2.90,65.40
2022-12-02,05:30:50,2.90,65.60
2022-12-02,05:35:51,2.90,65.70
2022-12-02,05:40:51,3.00,65.80
2022-12-02,05:45:51,3.00,66.00
2022-12-02,05:50:51,2.90,66.10
2022-12-02,05:55:52,3.00,66.10
2022-12-02,06:00:52,3.00,66.30
2022-12-02,06:05:53,3.00,66.10
2022-12-02,06:10:53,3.00,66.10
2022-12-02,06:15:53,2.40,62.20
2022-12-02,06:20:54,1.60,62.60
2022-12-02,06:25:54,1.10,65.70
2022-12-02,06:30:54,0.50,64.00
2022-12-02,06:35:55,0.30,66.10
2022-12-02,06:40:55,0.30,63.90
2022-12-02,06:45:56,0.00,66.10
2022-12-02,06:50:56,0.20,66.30
2022-12-02,06:55:57,0.30,64.40
2022-12-02,07:00:57,0.60,67.50
2022-12-02,07:05:58,0.60,64.60
2022-12-02,07:10:58,0.90,66.90
2022-12-02,07:15:58,1.10,65.90
2022-12-02,07:20:59,1.20,66.30
2022-12-02,07:25:59,1.30,65.50
2022-12-02,07:30:59,1.30,64.90
2022-12-02,07:35:59,1.30,64.80
2022-12-02,07:40:59,1.40,64.60
2022-12-02,07:46:00,1.40,64.50
2022-12-02,07:51:00,1.50,65.60
2022-12-02,07:56:00,1.70,66.10
2022-12-02,08:01:01,2.00,66.50
2022-12-02,08:06:01,2.40,66.40
2022-12-02,08:11:01,2.80,65.90
2022-12-02,08:16:02,3.20,65.80
2022-12-02,08:21:02,3.60,65.90
2022-12-02,08:26:03,4.10,65.80
2022-12-02,08:31:03,4.40,65.00
2022-12-02,08:36:03,4.70,64.50
2022-12-02,08:41:04,5.00,64.60
2022-12-02,08:46:04,5.30,64.10
2022-12-02,08:51:04,5.60,63.40
2022-12-02,08:56:05,5.80,62.40
2022-12-02,09:01:05,5.80,61.00
2022-12-02,09:06:05,5.90,61.10
2022-12-02,09:11:06,6.10,60.80
2022-12-02,09:16:06,6.30,60.70
2022-12-02,09:21:06,6.50,60.10
2022-12-02,09:26:06,6.50,59.10
2022-12-02,09:31:07,6.60,58.70
2022-12-02,09:36:07,6.60,57.90
2022-12-02,09:41:07,6.80,58.60
2022-12-02,09:46:08,7.00,58.30
2022-12-02,09:51:08,6.90,57.50
2022-12-02,09:56:08,6.90,57.70
2022-12-02,10:01:09,6.90,57.20
2022-12-02,10:06:09,7.00,57.60
2022-12-02,10:11:09,7.20,57.80
2022-12-02,10:16:09,7.30,56.80
2022-12-02,10:21:10,7.40,56.60
2022-12-02,10:26:10,7.60,56.10
2022-12-02,10:31:10,7.70,56.40
2022-12-02,10:36:10,7.70,56.40
2022-12-02,10:41:11,7.80,56.00
2022-12-02,10:46:11,7.80,55.80
2022-12-02,10:51:12,7.80,56.20
2022-12-02,10:56:12,7.90,55.80
2022-12-02,11:01:12,7.90,56.20
2022-12-02,11:06:12,8.00,55.90
2022-12-02,11:11:13,7.90,55.00
2022-12-02,11:16:13,7.90,55.60
2022-12-02,11:21:14,8.00,55.50
2022-12-02,11:26:14,8.10,56.80
2022-12-02,11:31:14,8.20,55.60
2022-12-02,11:36:15,8.20,53.90
2022-12-02,11:41:15,8.20,55.40
2022-12-02,11:46:16,8.20,54.00
2022-12-02,11:51:16,8.20,56.00
2022-12-02,11:56:17,8.40,55.80
2022-12-02,12:01:17,8.50,55.30
2022-12-02,12:06:17,8.60,56.40
2022-12-02,12:11:18,8.70,56.50
2022-12-02,12:16:18,8.80,56.50
2022-12-02,12:21:19,8.90,56.80
2022-12-02,12:26:19,8.90,54.30
2022-12-02,12:31:19,8.90,54.90
2022-12-02,12:36:19,9.00,54.00
2022-12-02,12:41:20,9.00,54.00
2022-12-02,12:46:20,9.00,53.20
2022-12-02,12:51:21,9.00,55.30
2022-12-02,12:56:21,9.10,54.30
2022-12-02,13:01:22,9.30,53.80
2022-12-02,13:06:22,9.30,51.80
2022-12-02,13:11:22,9.20,52.50
2022-12-02,13:16:23,9.20,53.30
2022-12-02,13:21:23,9.30,53.40
2022-12-02,13:26:23,9.20,51.60
2022-12-02,13:31:24,9.00,50.90
2022-12-02,13:36:24,8.90,52.00
2022-12-02,13:41:25,8.90,52.70
2022-12-02,13:46:25,9.00,52.60
2022-12-02,13:51:26,8.90,51.00
2022-12-02,13:56:26,8.70,51.00
2022-12-02,14:01:26,8.70,51.50
2022-12-02,14:06:26,8.70,51.20
2022-12-02,14:11:27,8.80,51.20
2022-12-02,14:16:27,8.70,51.80
2022-12-02,14:21:27,8.60,51.70
2022-12-02,14:26:27,8.70,51.70
2022-12-02,14:31:27,8.70,52.20
2022-12-02,14:36:28,8.70,52.00
2022-12-02,14:41:28,8.80,52.30
2022-12-02,14:46:28,8.70,50.90
2022-12-02,14:51:28,8.70,51.50
2022-12-02,14:56:29,8.60,51.60
2022-12-02,15:01:29,8.50,51.80
2022-12-02,15:06:30,8.50,51.30
2022-12-02,15:11:30,8.50,51.70
2022-12-02,15:16:30,8.40,51.60
2022-12-02,15:21:30,8.40,51.10
2022-12-02,15:26:31,8.40,51.00
2022-12-02,15:31:31,8.40,51.10
2022-12-02,15:36:31,8.40,50.70
2022-12-02,15:41:32,8.50,50.80
2022-12-02,15:46:32,8.50,51.30
2022-12-02,15:51:33,8.40,51.00
2022-12-02,15:56:33,8.50,51.60
2022-12-02,16:01:33,8.50,51.30
2022-12-02,16:06:34,8.50,51.80
2022-12-02,16:11:34,8.40,49.80
2022-12-02,16:16:35,8.40,51.40
2022-12-02,16:21:35,8.40,52.50
2022-12-02,16:26:36,8.40,51.60
2022-12-02,16:31:36,8.40,52.60
2022-12-02,16:36:36,8.40,52.50
2022-12-02,16:41:37,8.30,53.00
2022-12-02,16:46:37,8.30,53.40
2022-12-02,16:51:38,8.30,53.60
2022-12-02,16:56:38,8.20,55.00
2022-12-02,17:01:39,8.10,55.00
2022-12-02,17:06:39,7.90,56.00
2022-12-02,17:11:39,7.80,56.40
2022-12-02,17:16:40,7.60,56.40
2022-12-02,17:21:40,7.50,56.80
2022-12-02,17:26:40,7.50,57.10
2022-12-02,17:31:41,7.50,58.20
2022-12-02,17:36:41,7.40,58.10
2022-12-02,17:41:42,7.30,58.00
2022-12-02,17:46:42,7.20,58.40
2022-12-02,17:51:42,7.10,58.70
2022-12-02,17:56:43,7.00,59.20
2022-12-02,18:01:43,7.00,58.90
2022-12-02,18:06:43,6.80,57.80
2022-12-02,18:11:44,6.60,57.70
2022-12-02,18:16:44,6.50,59.00
2022-12-02,18:21:44,6.50,59.60
2022-12-02,18:26:44,6.50,60.00
2022-12-02,18:31:45,6.50,59.70
2022-12-02,18:36:45,6.50,60.30
2022-12-02,18:41:46,6.40,59.90
2022-12-02,18:46:46,6.40,60.20
2022-12-02,18:51:46,6.30,58.30
2022-12-02,18:56:47,6.20,60.30
2022-12-02,19:01:47,6.30,61.00
2022-12-02,19:06:48,6.30,61.30
2022-12-02,19:11:48,6.30,61.10
2022-12-02,19:16:49,6.30,61.70
2022-12-02,19:21:49,6.30,61.90
2022-12-02,19:26:49,6.30,62.00
2022-12-02,19:31:50,6.20,61.90
2022-12-02,19:36:50,6.20,62.00
2022-12-02,19:41:50,6.20,62.00
2022-12-02,19:46:51,6.10,61.60
2022-12-02,19:51:52,6.10,62.30
2022-12-02,19:56:52,6.10,62.30
2022-12-02,20:01:52,6.10,62.70
2022-12-02,20:06:53,6.10,60.50
2022-12-02,20:11:53,6.00,61.90
2022-12-02,20:16:53,5.80,62.20
2022-12-02,20:21:54,5.80,63.70
2022-12-02,20:26:54,5.60,59.00
2022-12-02,20:31:55,5.30,63.30
2022-12-02,20:36:55,5.60,64.00
2022-12-02,20:41:56,5.00,58.80
2022-12-02,20:46:56,4.90,61.00
2022-12-02,20:51:57,5.10,63.40
2022-12-02,20:56:57,5.20,64.80
2022-12-02,21:01:57,5.20,61.70
2022-12-02,21:06:58,5.30,64.20
2022-12-02,21:11:58,4.80,60.70
2022-12-02,21:16:58,4.20,61.90
2022-12-02,21:21:59,3.80,59.20
2022-12-02,21:26:59,3.60,59.40
2022-12-02,21:32:00,3.60,61.30
2022-12-02,21:37:00,3.40,61.20
