날짜,시간,온도,습도
2022-12-03,00:02:11,4.50,67.20
2022-12-03,00:07:11,4.50,67.40
2022-12-03,00:12:12,4.40,66.20
2022-12-03,00:17:12,4.30,66.50
2022-12-03,00:22:12,4.40,67.10
2022-12-03,00:27:13,4.40,66.70
2022-12-03,00:32:13,4.20,66.00
2022-12-03,00:37:14,4.20,66.70
2022-12-03,00:42:14,4.20,66.00
2022-12-03,00:47:14,4.20,66.60
2022-12-03,00:52:15,4.30,67.00
2022-12-03,00:57:15,4.30,67.10
2022-12-03,01:02:16,4.30,67.30
2022-12-03,01:07:16,4.30,67.20
2022-12-03,01:12:16,4.20,67.50
2022-12-03,01:17:17,4.20,67.50
2022-12-03,01:22:17,4.20,67.80
2022-12-03,01:27:18,4.20,67.00
2022-12-03,01:32:18,4.10,67.50
2022-12-03,01:37:18,4.00,67.70
2022-12-03,01:42:19,3.90,67.10
2022-12-03,01:47:19,3.80,66.60
2022-12-03,01:52:19,3.70,67.30
2022-12-03,01:57:20,3.70,67.10
2022-12-03,02:02:20,3.70,66.90
2022-12-03,02:07:21,3.80,67.20
2022-12-03,02:12:21,3.90,67.50
2022-12-03,02:17:22,3.90,67.60
2022-12-03,02:22:22,3.90,67.70
2022-12-03,02:27:22,4.00,67.60
2022-12-03,02:32:23,3.90,67.90
2022-12-03,02:37:23,3.90,67.80
2022-12-03,02:42:23,3.80,67.00
2022-12-03,02:47:23,3.60,66.30
2022-12-03,02:52:24,3.50,67.00
2022-12-03,02:57:24,3.40,66.90
2022-12-03,03:02:25,3.50,66.90
2022-12-03,03:07:25,3.60,67.00
2022-12-03,03:12:26,3.70,67.10
2022-12-03,03:17:26,3.70,67.50
2022-12-03,03:22:26,3.80,67.20
2022-12-03,03:27:27,3.70,66.70
2022-12-03,03:32:27,3.60,66.40
2022-12-03,03:37:27,3.60,66.40
2022-12-03,03:42:28,3.70,66.80
2022-12-03,03:47:29,3.80,67.40
2022-12-03,03:52:29,3.90,67.70
2022-12-03,03:57:29,4.00,67.80
2022-12-03,04:02:29,4.10,67.90
2022-12-03,04:07:30,4.10,68.30
2022-12-03,04:12:30,4.20,68.40
2022-12-03,04:17:31,4.20,68.40
2022-12-03,04:22:31,4.10,68.60
2022-12-03,04:27:31,4.10,68.50
2022-12-03,04:32:32,4.10,68.70
2022-12-03,04:37:32,4.10,68.90
2022-12-03,04:42:32,4.20,68.80
2022-12-03,04:47:33,4.20,68.90
2022-12-03,04:52:33,4.10,68.10
2022-12-03,04:57:34,3.90,67.10
2022-12-03,05:02:34,3.90,67.50
2022-12-03,05:07:34,3.90,67.80
2022-12-03,05:12:34,4.00,67.90
2022-12-03,05:17:35,4.00,67.80
2022-12-03,05:22:35,4.10,68.00
2022-12-03,05:27:36,4.10,68.20
2022-12-03,05:32:36,4.20,68.40
2022-12-03,05:37:36,4.20,68.50
2022-12-03,05:42:37,4.30,68.80
2022-12-03,05:47:37,4.30,68.70
2022-12-03,05:52:37,4.30,68.80
2022-12-03,05:57:38,4.40,68.90
2022-12-03,06:02:38,4.30,68.50
2022-12-03,06:07:39,4.20,68.30
2022-12-03,06:12:39,4.10,67.90
2022-12-03,06:17:39,4.00,67.80
2022-12-03,06:22:40,3.90,68.20
2022-12-03,06:27:40,3.90,67.70
2022-12-03,06:32:41,3.90,67.40
2022-12-03,06:37:41,3.80,67.10
2022-12-03,06:42:41,3.80,67.30
2022-12-03,06:47:42,3.90,67.60
2022-12-03,06:52:43,3.80,67.70
2022-12-03,06:57:43,3.80,67.40
2022-12-03,07:02:43,3.60,67.30
2022-12-03,07:07:44,3.70,68.30
2022-12-03,07:12:44,3.60,67.50
2022-12-03,07:17:44,3.50,68.40
2022-12-03,07:22:45,3.60,68.50
2022-12-03,07:27:45,3.70,68.60
2022-12-03,07:32:45,3.80,68.70
2022-12-03,07:37:46,3.80,68.60
2022-12-03,07:42:46,3.70,68.00
2022-12-03,07:47:46,3.70,68.50
2022-12-03,07:52:46,3.90,68.90
2022-12-03,07:57:47,4.00,68.60
2022-12-03,08:02:47,4.00,69.30
2022-12-03,08:07:48,4.10,68.80
2022-12-03,08:12:48,4.20,68.60
2022-12-03,08:17:48,4.50,68.30
2022-12-03,08:22:49,4.70,67.90
2022-12-03,08:27:49,5.00,67.50
2022-12-03,08:32:49,5.30,67.20
2022-12-03,08:37:50,5.60,66.70
2022-12-03,08:42:50,5.90,66.80
2022-12-03,08:47:51,6.20,66.30
2022-12-03,08:52:51,6.40,65.20
2022-12-03,08:57:51,6.70,65.50
2022-12-03,09:02:52,7.00,65.40
2022-12-03,09:07:52,7.20,64.10
2022-12-03,09:12:53,7.40,63.10
2022-12-03,09:17:53,7.50,61.30
2022-12-03,09:22:53,7.70,64.20
2022-12-03,09:27:54,7.80,61.30
2022-12-03,09:32:54,7.80,63.80
2022-12-03,09:37:54,7.60,59.20
2022-12-03,09:42:55,7.40,60.50
2022-12-03,09:47:55,7.40,64.80
2022-12-03,09:52:55,7.40,64.50
2022-12-03,09:57:56,7.40,64.90
2022-12-03,10:02:56,7.40,65.20
2022-12-03,10:07:57,7.30,64.60
2022-12-03,10:12:57,7.30,65.60
2022-12-03,10:17:57,7.30,65.50
2022-12-03,10:22:57,7.20,66.10
2022-12-03,10:27:58,7.20,65.90
2022-12-03,10:32:58,7.10,65.70
2022-12-03,10:37:59,7.20,65.70
2022-12-03,10:42:59,7.10,65.50
2022-12-03,10:48:00,7.10,66.20
2022-12-03,10:53:00,7.20,66.00
2022-12-03,10:58:00,7.10,65.90
2022-12-03,11:03:01,7.10,66.10
2022-12-03,11:08:01,7.10,65.00
2022-12-03,11:13:02,7.10,65.90
