날짜,시간,온도,습도
2022-12-31,00:01:12,2.60,72.20
2022-12-31,00:06:12,2.50,71.50
2022-12-31,00:11:13,2.40,71.60
2022-12-31,00:16:13,2.40,72.20
2022-12-31,00:21:14,2.40,72.80
2022-12-31,00:26:14,2.50,72.80
2022-12-31,00:31:14,2.40,72.10
2022-12-31,00:36:15,2.30,71.70
2022-12-31,00:41:15,2.30,71.50
2022-12-31,00:46:16,2.20,71.60
2022-12-31,00:51:16,2.20,72.10
2022-12-31,00:56:16,2.20,72.50
2022-12-31,01:01:17,2.20,72.50
2022-12-31,01:06:17,2.10,73.90
2022-12-31,01:11:17,2.20,74.10
2022-12-31,01:16:18,2.20,74.20
2022-12-31,01:21:18,2.10,74.40
2022-12-31,01:26:18,2.20,74.70
2022-12-31,01:31:19,2.20,74.70
2022-12-31,01:36:19,2.20,74.80
2022-12-31,01:41:20,2.30,74.90
2022-12-31,01:46:20,2.20,74.30
2022-12-31,01:51:20,2.20,74.90
2022-12-31,01:56:20,2.20,74.90
2022-12-31,02:01:21,2.20,75.10
2022-12-31,02:06:22,2.20,75.20
2022-12-31,02:11:22,2.10,75.10
2022-12-31,02:16:23,2.10,74.80
2022-12-31,02:21:23,2.00,74.10
2022-12-31,02:26:23,1.90,74.30
2022-12-31,02:31:23,1.90,74.40
2022-12-31,02:36:23,1.70,74.00
2022-12-31,02:41:24,1.60,74.00
2022-12-31,02:46:24,1.60,73.70
2022-12-31,02:51:25,1.50,73.40
2022-12-31,02:56:25,1.40,73.50
2022-12-31,03:01:25,1.40,73.30
2022-12-31,03:06:26,1.40,73.80
2022-12-31,03:11:26,1.40,73.70
2022-12-31,03:16:26,1.10,71.90
2022-12-31,03:21:26,0.80,72.70
2022-12-31,03:26:27,0.90,73.70
2022-12-31,03:31:27,0.90,73.60
2022-12-31,03:36:28,1.00,75.00
2022-12-31,03:41:28,1.00,74.40
2022-12-31,03:46:28,1.10,75.60
2022-12-31,03:51:29,0.50,71.20
2022-12-31,03:56:29,0.00,72.30
2022-12-31,04:01:29,-0.19,73.60
2022-12-31,04:06:30,0.00,74.30
2022-12-31,04:11:30,-0.09,73.90
2022-12-31,04:16:30,0.00,74.80
2022-12-31,04:21:30,0.20,73.80
2022-12-31,04:26:30,0.30,74.90
2022-12-31,04:31:31,0.30,74.10
2022-12-31,04:36:31,0.40,74.90
2022-12-31,04:41:31,0.40,73.60
2022-12-31,04:46:31,0.30,73.70
2022-12-31,04:51:32,0.40,73.50
2022-12-31,04:56:32,0.20,72.40
2022-12-31,05:01:32,0.30,73.90
2022-12-31,05:06:33,0.30,74.20
2022-12-31,05:11:33,0.50,74.50
2022-12-31,05:16:33,0.40,72.10
2022-12-31,05:21:33,0.40,73.50
2022-12-31,05:26:34,0.30,72.00
2022-12-31,05:31:34,0.30,74.00
2022-12-31,05:36:35,0.30,73.60
2022-12-31,05:41:35,0.10,71.90
2022-12-31,05:46:35,-0.09,72.50
2022-12-31,05:51:36,0.00,74.00
2022-12-31,05:56:36,-0.19,73.60
2022-12-31,06:01:36,0.00,74.60
2022-12-31,06:06:37,0.00,73.20
2022-12-31,06:11:37,0.00,73.60
2022-12-31,06:16:38,-0.09,72.30
2022-12-31,06:21:38,-0.19,72.60
2022-12-31,06:26:38,-0.19,72.10
2022-12-31,06:31:39,-0.49,71.90
2022-12-31,06:36:39,-0.49,73.30
2022-12-31,06:41:39,-0.39,73.70
2022-12-31,06:46:40,-0.39,72.90
2022-12-31,06:51:40,-0.59,72.40
2022-12-31,06:56:40,-0.79,72.80
2022-12-31,07:01:40,-0.69,73.50
2022-12-31,07:06:40,-0.69,72.40
2022-12-31,07:11:41,-0.49,74.40
2022-12-31,07:16:41,-0.49,73.10
2022-12-31,07:21:41,-0.59,70.80
2022-12-31,07:26:41,-0.49,74.60
2022-12-31,07:31:41,-0.29,74.50
2022-12-31,07:36:41,-0.29,73.70
2022-12-31,07:41:41,-0.39,72.30
2022-12-31,07:46:41,-0.39,74.10
2022-12-31,07:51:42,-0.39,73.40
2022-12-31,07:56:42,-0.39,72.40
2022-12-31,08:01:43,-0.99,71.80
2022-12-31,08:06:43,-0.69,74.10
2022-12-31,08:11:43,-0.69,72.30
2022-12-31,08:16:44,-0.19,75.40
2022-12-31,08:21:44,0.20,74.90
2022-12-31,08:26:44,0.60,74.70
2022-12-31,08:31:45,0.90,74.70
2022-12-31,08:36:45,1.20,75.40
2022-12-31,08:41:45,0.90,73.30
2022-12-31,08:46:46,1.40,77.60
2022-12-31,08:51:46,1.80,76.90
2022-12-31,08:56:46,2.20,77.10
2022-12-31,09:01:47,2.50,76.90
2022-12-31,09:06:47,2.60,75.90
2022-12-31,09:11:47,2.80,75.60
2022-12-31,09:16:47,3.10,75.00
2022-12-31,09:21:48,3.40,74.70
2022-12-31,09:26:48,3.60,71.90
2022-12-31,09:31:48,3.70,71.90
2022-12-31,09:36:49,4.10,73.60
2022-12-31,09:41:49,4.60,73.10
2022-12-31,09:46:49,4.90,72.40
2022-12-31,09:51:50,5.10,71.00
2022-12-31,09:56:50,5.40,71.20
2022-12-31,10:01:51,5.60,70.50
2022-12-31,10:06:51,5.80,69.70
2022-12-31,10:11:51,6.00,68.40
2022-12-31,10:16:52,6.10,68.70
2022-12-31,10:21:52,6.30,68.50
2022-12-31,10:26:52,6.40,67.10
2022-12-31,10:31:52,6.40,65.70
2022-12-31,10:36:52,6.50,65.50
2022-12-31,10:41:53,6.60,64.00
2022-12-31,10:46:53,6.70,66.20
2022-12-31,10:51:53,6.70,62.90
2022-12-31,10:56:54,6.80,64.60
2022-12-31,11:01:54,6.90,64.80
2022-12-31,11:06:54,7.10,65.40
2022-12-31,11:11:54,7.20,65.30
