날짜,시간,온도,습도
2022-12-05,00:00:48,4.40,63.50
2022-12-05,00:05:48,4.30,63.30
2022-12-05,00:10:48,4.20,63.00
2022-12-05,00:15:48,4.20,63.10
2022-12-05,00:20:49,4.10,63.00
2022-12-05,00:25:49,4.00,63.00
2022-12-05,00:30:50,4.00,63.10
2022-12-05,00:35:50,4.00,63.40
2022-12-05,00:40:50,4.00,63.40
2022-12-05,00:45:50,4.00,64.20
2022-12-05,00:50:51,4.10,65.10
2022-12-05,00:55:51,4.20,65.30
2022-12-05,01:00:52,4.10,65.50
2022-12-05,01:05:52,4.10,65.60
2022-12-05,01:10:53,4.10,65.70
2022-12-05,01:15:53,4.10,65.30
2022-12-05,01:20:53,4.20,66.20
2022-12-05,01:25:53,4.10,61.90
2022-12-05,01:30:54,4.20,66.80
2022-12-05,01:35:54,4.20,67.00
2022-12-05,01:40:54,4.20,67.20
2022-12-05,01:45:54,4.00,65.80
2022-12-05,01:50:55,4.20,67.40
2022-12-05,01:55:55,4.20,65.90
2022-12-05,02:00:55,4.20,67.30
2022-12-05,02:05:55,4.20,67.70
2022-12-05,02:10:56,4.30,67.70
2022-12-05,02:15:56,4.30,67.70
2022-12-05,02:20:57,4.40,68.00
2022-12-05,02:25:57,4.40,68.10
2022-12-05,02:30:58,4.40,68.20
2022-12-05,02:35:58,4.40,68.30
2022-12-05,02:40:58,4.50,68.30
2022-12-05,02:45:59,4.40,68.50
2022-12-05,02:50:59,4.40,68.40
2022-12-05,02:55:59,4.40,68.20
2022-12-05,03:00:59,4.40,68.20
2022-12-05,03:06:00,4.40,67.60
2022-12-05,03:11:01,4.30,67.70
2022-12-05,03:16:01,4.40,67.40
2022-12-05,03:21:01,4.30,66.80
2022-12-05,03:26:01,4.20,66.10
2022-12-05,03:31:02,4.10,66.20
2022-12-05,03:36:02,4.00,65.20
2022-12-05,03:41:02,4.00,65.50
2022-12-05,03:46:03,3.90,65.70
2022-12-05,03:51:03,3.90,65.10
2022-12-05,03:56:04,3.80,64.40
2022-12-05,04:01:04,3.80,64.40
2022-12-05,04:06:04,3.70,63.80
2022-12-05,04:11:04,3.60,63.10
2022-12-05,04:16:05,3.60,64.30
2022-12-05,04:21:05,3.70,65.10
2022-12-05,04:26:05,3.80,65.30
2022-12-05,04:31:05,3.90,65.90
2022-12-05,04:36:06,4.00,66.30
2022-12-05,04:41:06,4.00,66.60
2022-12-05,04:46:07,4.10,66.60
2022-12-05,04:51:07,4.00,66.30
2022-12-05,04:56:07,3.90,65.30
2022-12-05,05:01:08,3.90,65.10
2022-12-05,05:06:08,3.90,64.70
2022-12-05,05:11:08,3.80,64.80
2022-12-05,05:16:09,3.90,65.50
2022-12-05,05:21:09,4.00,66.20
2022-12-05,05:26:09,3.90,66.20
2022-12-05,05:31:10,3.90,65.80
2022-12-05,05:36:10,4.00,66.50
2022-12-05,05:41:10,4.10,66.30
2022-12-05,05:46:11,4.00,66.30
2022-12-05,05:51:12,3.90,66.50
2022-12-05,05:56:12,3.90,65.90
2022-12-05,06:01:12,3.80,66.20
2022-12-05,06:06:13,3.80,65.30
2022-12-05,06:11:13,3.80,66.20
2022-12-05,06:16:13,3.80,66.00
2022-12-05,06:21:14,3.80,66.10
2022-12-05,06:26:14,3.80,66.60
2022-12-05,06:31:15,3.90,67.00
2022-12-05,06:36:15,3.90,67.30
2022-12-05,06:41:15,3.80,66.20
2022-12-05,06:46:16,3.90,67.50
