날짜,시간,온도,습도
2022-12-09,00:02:36,4.80,57.00
2022-12-09,00:07:36,4.70,58.60
2022-12-09,00:12:36,4.70,57.40
2022-12-09,00:17:37,4.60,58.20
2022-12-09,00:22:37,4.60,58.70
2022-12-09,00:27:37,4.70,56.90
2022-12-09,00:32:38,4.60,58.80
2022-12-09,00:37:38,4.50,57.50
2022-12-09,00:42:38,4.50,59.00
2022-12-09,00:47:38,4.60,57.80
2022-12-09,00:52:39,4.40,56.50
2022-12-09,00:57:39,4.30,57.70
2022-12-09,01:02:39,4.30,58.60
2022-12-09,01:07:39,4.30,60.10
2022-12-09,01:12:40,4.40,59.10
2022-12-09,01:17:40,4.50,59.10
2022-12-09,01:22:40,4.60,63.10
2022-12-09,01:27:41,5.00,63.00
2022-12-09,01:32:41,5.20,59.00
2022-12-09,01:37:41,5.10,61.90
2022-12-09,01:42:42,4.70,58.70
2022-12-09,01:47:42,4.40,59.30
2022-12-09,01:52:42,4.20,59.60
2022-12-09,01:57:43,3.90,59.40
2022-12-09,02:02:43,3.80,59.60
2022-12-09,02:07:43,3.70,58.80
2022-12-09,02:12:44,3.50,59.70
2022-12-09,02:17:44,3.40,59.30
2022-12-09,02:22:45,3.40,60.50
2022-12-09,02:27:45,3.40,59.50
2022-12-09,02:32:45,3.30,58.80
2022-12-09,02:37:46,3.20,58.30
2022-12-09,02:42:46,3.30,58.70
2022-12-09,02:47:47,3.40,59.40
2022-12-09,02:52:47,3.50,58.70
2022-12-09,02:57:47,3.60,59.10
2022-12-09,03:02:48,4.00,61.50
2022-12-09,03:07:48,3.90,58.50
2022-12-09,03:12:48,3.80,59.40
2022-12-09,03:17:49,3.80,59.10
2022-12-09,03:22:49,3.80,61.10
2022-12-09,03:27:50,3.60,59.60
2022-12-09,03:32:50,3.80,60.30
2022-12-09,03:37:50,4.10,60.80
2022-12-09,03:42:51,4.10,58.60
2022-12-09,03:47:51,4.10,60.10
2022-12-09,03:52:51,3.90,58.70
2022-12-09,03:57:52,3.70,60.80
2022-12-09,04:02:52,3.60,61.20
2022-12-09,04:07:52,3.60,59.00
2022-12-09,04:12:53,3.40,59.90
2022-12-09,04:17:53,3.40,60.10
2022-12-09,04:22:53,3.30,60.20
2022-12-09,04:27:54,3.20,60.20
2022-12-09,04:32:54,3.20,59.50
2022-12-09,04:37:54,3.20,60.30
2022-12-09,04:42:54,3.10,59.50
2022-12-09,04:47:55,3.00,59.70
2022-12-09,04:52:55,3.10,59.80
2022-12-09,04:57:55,3.10,60.00
2022-12-09,05:02:56,3.20,59.30
2022-12-09,05:07:56,3.10,59.00
2022-12-09,05:12:57,2.90,60.00
2022-12-09,05:17:57,2.80,59.30
2022-12-09,05:22:58,2.80,59.70
2022-12-09,05:27:58,2.90,59.60
2022-12-09,05:32:59,3.00,59.50
2022-12-09,05:37:59,2.90,59.20
2022-12-09,05:43:00,2.90,59.40
2022-12-09,05:48:00,2.80,59.30
2022-12-09,05:53:00,2.90,59.60
2022-12-09,05:58:01,3.10,59.90
2022-12-09,06:03:02,3.50,62.30
2022-12-09,06:08:02,3.70,62.30
2022-12-09,06:13:02,3.90,62.70
2022-12-09,06:18:03,3.90,61.20
2022-12-09,06:23:03,3.80,60.50
2022-12-09,06:28:04,3.80,61.50
2022-12-09,06:33:04,3.70,61.00
2022-12-09,06:38:04,3.60,63.60
2022-12-09,06:43:05,3.60,61.60
2022-12-09,06:48:05,3.50,60.40
2022-12-09,06:53:05,3.30,62.30
2022-12-09,06:58:06,3.10,59.90
2022-12-09,07:03:06,3.00,61.80
2022-12-09,07:08:06,3.10,61.10
2022-12-09,07:13:07,3.00,62.60
2022-12-09,07:18:07,3.00,60.60
2022-12-09,07:23:07,2.80,60.80
2022-12-09,07:28:07,2.70,60.70
2022-12-09,07:33:08,2.80,61.60
2022-12-09,07:38:08,3.00,63.20
2022-12-09,07:43:09,3.10,61.70
2022-12-09,07:48:09,2.80,60.30
2022-12-09,07:53:09,2.70,62.00
2022-12-09,07:58:10,2.90,61.40
2022-12-09,08:03:10,3.00,60.40
2022-12-09,08:08:11,3.10,60.80
2022-12-09,08:13:11,3.40,62.30
2022-12-09,08:18:11,3.30,60.90
2022-12-09,08:23:12,3.60,60.20
2022-12-09,08:28:12,3.80,59.40
2022-12-09,08:33:12,3.90,58.90
2022-12-09,08:38:12,3.90,58.50
2022-12-09,08:43:13,3.80,56.90
2022-12-09,08:48:14,4.00,57.20
2022-12-09,08:53:14,4.30,57.50
2022-12-09,08:58:14,4.80,59.00
2022-12-09,09:03:15,5.10,58.40
2022-12-09,09:08:15,5.30,58.60
2022-12-09,09:13:15,5.40,58.90
2022-12-09,09:18:16,5.50,59.40
2022-12-09,09:23:16,5.60,59.90
2022-12-09,09:28:16,5.60,60.00
2022-12-09,09:33:17,5.50,60.40
2022-12-09,09:38:17,5.60,60.90
2022-12-09,09:43:18,5.60,61.00
2022-12-09,09:48:18,5.50,61.00
2022-12-09,09:53:19,5.50,61.20
2022-12-09,09:58:19,5.50,61.40
2022-12-09,10:03:20,5.60,61.70
2022-12-09,10:08:20,5.70,61.90
2022-12-09,10:13:20,5.80,61.80
2022-12-09,10:18:21,5.90,62.00
2022-12-09,10:23:21,6.00,61.90
2022-12-09,10:28:22,6.00,58.90
2022-12-09,10:33:22,5.90,59.90
2022-12-09,10:38:22,6.00,60.00
2022-12-09,10:43:23,6.30,62.20
2022-12-09,10:48:23,6.70,61.80
2022-12-09,10:53:23,7.00,62.00
2022-12-09,10:58:24,7.20,61.00
