날짜,시간,온도,습도
2022-12-18,00:04:01,-2.09,62.30
2022-12-18,00:09:02,-2.19,61.50
2022-12-18,00:14:02,-2.29,62.10
2022-12-18,00:19:02,-2.39,62.50
2022-12-18,00:24:03,-2.39,62.40
2022-12-18,00:29:03,-2.29,62.30
2022-12-18,00:34:04,-2.39,62.60
2022-12-18,00:39:04,-2.39,62.40
2022-12-18,00:44:05,-2.39,62.60
2022-12-18,00:49:05,-2.39,62.20
2022-12-18,00:54:05,-2.39,63.30
2022-12-18,00:59:06,-2.29,63.50
2022-12-18,01:04:06,-2.19,64.00
2022-12-18,01:09:07,-2.19,63.20
2022-12-18,01:14:07,-2.29,63.60
2022-12-18,01:19:08,-2.29,63.90
2022-12-18,01:24:08,-2.19,64.30
2022-12-18,01:29:08,-2.09,64.60
2022-12-18,01:34:09,-2.19,64.20
2022-12-18,01:39:09,-2.19,63.60
2022-12-18,01:44:10,-2.29,64.10
2022-12-18,01:49:10,-2.29,63.80
2022-12-18,01:54:10,-2.29,64.10
2022-12-18,01:59:11,-2.29,64.20
2022-12-18,02:04:11,-2.29,64.40
2022-12-18,02:09:11,-2.29,64.10
2022-12-18,02:14:12,-2.29,63.80
2022-12-18,02:19:12,-2.39,64.10
2022-12-18,02:24:12,-2.49,64.30
2022-12-18,02:29:12,-2.29,65.10
2022-12-18,02:34:13,-2.19,65.70
2022-12-18,02:39:13,-1.99,65.80
2022-12-18,02:44:13,-1.99,65.90
2022-12-18,02:49:14,-1.89,66.20
2022-12-18,02:54:14,-1.79,66.90
2022-12-18,02:59:15,-1.69,67.40
2022-12-18,03:04:15,-1.69,67.00
2022-12-18,03:09:16,-1.79,66.30
2022-12-18,03:14:16,-1.89,66.80
2022-12-18,03:19:17,-1.89,66.60
2022-12-18,03:24:17,-1.89,67.30
2022-12-18,03:29:17,-1.89,67.30
2022-12-18,03:34:17,-1.89,67.30
2022-12-18,03:39:18,-1.89,67.40
2022-12-18,03:44:18,-1.89,67.70
2022-12-18,03:49:18,-1.89,68.30
2022-12-18,03:54:18,-1.89,68.40
2022-12-18,03:59:19,-1.99,67.70
2022-12-18,04:04:19,-1.99,68.20
2022-12-18,04:09:19,-1.99,68.10
2022-12-18,04:14:20,-2.09,68.20
2022-12-18,04:19:20,-2.09,67.90
2022-12-18,04:24:20,-2.19,67.90
2022-12-18,04:29:21,-2.09,68.50
2022-12-18,04:34:21,-2.19,68.80
2022-12-18,04:39:22,-1.99,68.90
2022-12-18,04:44:22,-1.99,69.00
2022-12-18,04:49:23,-1.89,69.30
2022-12-18,04:54:23,-1.89,69.20
2022-12-18,04:59:23,-1.89,69.10
2022-12-18,05:04:23,-1.99,68.40
2022-12-18,05:09:24,-1.99,67.90
2022-12-18,05:14:24,-1.99,68.30
2022-12-18,05:19:25,-1.99,68.60
2022-12-18,05:24:25,-1.99,68.60
2022-12-18,05:29:25,-1.99,68.40
2022-12-18,05:34:26,-1.99,68.40
2022-12-18,05:39:26,-1.99,69.70
2022-12-18,05:44:26,-1.99,68.80
2022-12-18,05:49:27,-2.09,67.60
2022-12-18,05:54:27,-2.19,67.50
2022-12-18,05:59:27,-2.19,67.40
2022-12-18,06:04:28,-2.19,67.60
2022-12-18,06:09:28,-2.29,67.90
2022-12-18,06:14:28,-2.29,67.60
2022-12-18,06:19:29,-2.19,68.40
2022-12-18,06:24:29,-2.09,68.30
2022-12-18,06:29:29,-2.19,67.50
2022-12-18,06:34:30,-2.29,67.30
2022-12-18,06:39:30,-2.39,66.40
2022-12-18,06:44:31,-2.59,65.90
2022-12-18,06:49:31,-2.79,65.90
2022-12-18,06:54:31,-2.79,66.90
2022-12-18,06:59:32,-2.79,66.60
2022-12-18,07:04:32,-2.89,66.00
2022-12-18,07:09:33,-2.99,66.10
2022-12-18,07:14:33,-2.99,66.40
2022-12-18,07:19:34,-3.09,66.50
2022-12-18,07:24:34,-3.09,66.50
2022-12-18,07:29:35,-3.09,66.10
2022-12-18,07:34:35,-3.29,65.70
2022-12-18,07:39:35,-3.19,66.40
2022-12-18,07:44:36,-3.09,66.80
