날짜,시간,온도,습도
2022-12-20,00:02:24,0.50,73.00
2022-12-20,00:07:25,0.50,72.80
2022-12-20,00:12:25,0.50,72.70
2022-12-20,00:17:26,0.50,72.50
2022-12-20,00:22:26,0.50,72.90
2022-12-20,00:27:26,0.60,73.00
2022-12-20,00:32:27,0.50,72.70
2022-12-20,00:37:27,0.50,72.80
2022-12-20,00:42:28,0.50,72.80
2022-12-20,00:47:28,0.60,73.10
2022-12-20,00:52:28,0.60,73.30
2022-12-20,00:57:29,0.50,71.80
2022-12-20,01:02:29,0.60,73.90
2022-12-20,01:07:29,0.60,73.70
2022-12-20,01:12:30,0.70,73.80
2022-12-20,01:17:30,0.70,73.90
2022-12-20,01:22:31,0.70,74.20
2022-12-20,01:27:31,0.80,74.40
2022-12-20,01:32:32,0.70,74.60
2022-12-20,01:37:32,0.70,74.60
2022-12-20,01:42:32,0.70,74.60
2022-12-20,01:47:33,0.80,74.30
2022-12-20,01:52:33,0.70,74.40
2022-12-20,01:57:34,0.70,74.50
2022-12-20,02:02:34,0.80,74.60
2022-12-20,02:07:34,0.70,74.30
2022-12-20,02:12:34,0.70,74.20
2022-12-20,02:17:34,0.60,73.60
2022-12-20,02:22:35,0.50,74.40
2022-12-20,02:27:35,0.40,74.00
2022-12-20,02:32:36,0.20,72.10
2022-12-20,02:37:36,0.10,74.50
2022-12-20,02:42:36,0.10,72.90
2022-12-20,02:47:37,0.20,74.50
2022-12-20,02:52:37,0.20,72.60
2022-12-20,02:57:37,0.10,73.70
2022-12-20,03:02:38,0.00,73.20
2022-12-20,03:07:38,-0.09,73.20
2022-12-20,03:12:38,-0.09,73.00
2022-12-20,03:17:39,-0.09,73.60
2022-12-20,03:22:39,-0.09,73.20
2022-12-20,03:27:39,-0.09,73.00
2022-12-20,03:32:40,-0.39,71.40
2022-12-20,03:37:40,-0.59,71.10
2022-12-20,03:42:40,-0.69,71.60
2022-12-20,03:47:41,-0.79,71.90
2022-12-20,03:52:41,-0.79,71.90
2022-12-20,03:57:41,-0.79,72.00
2022-12-20,04:02:42,-0.69,71.80
