Date time,Status,ACCX,ANGX,ANGVX,ACCY,ANGY,ANGVY,ACCZ,ANGZ,ANGVZ
2024-09-06 오전 9:27:52,Rec,0,-0.0384521484375,0,-0.02392578125,0,0,9.8095703125,23.97216796875,0
2024-09-06 오전 9:27:52,Rec,0.00478515625,-0.0384521484375,0,-0.00478515625,0,0,9.7904296875,23.97216796875,0
2024-09-06 오전 9:27:52,Rec,0.00478515625,-0.0384521484375,0,-0.0287109375,0,0,9.8095703125,23.97216796875,0
2024-09-06 오전 9:27:53,Rec,0.01435546875,-0.0439453125,0,0.019140625,0,0,9.7904296875,23.97216796875,0
2024-09-06 오전 9:27:53,Rec,0,-0.0384521484375,0,0,0,0,9.79521484375,23.97216796875,0
2024-09-06 오전 9:27:53,Rec,-0.0095703125,-0.0384521484375,0,-0.01435546875,0,0,9.82392578125,23.97216796875,0
2024-09-06 오전 9:27:54,Rec,-0.02392578125,-0.0439453125,0,-0.019140625,0,0,9.8287109375,23.97216796875,0
2024-09-06 오전 9:27:54,Rec,0.019140625,-0.0384521484375,0,-0.00478515625,0,0,9.80478515625,23.97216796875,0
2024-09-06 오전 9:27:54,Rec,0.0095703125,-0.0384521484375,0,0,0,0,9.78564453125,23.97216796875,0
2024-09-06 오전 9:27:55,Rec,-0.01435546875,-0.0384521484375,0,-0.00478515625,0,0,9.7904296875,23.97216796875,0
2024-09-06 오전 9:27:55,Rec,0.019140625,-0.0384521484375,0,0,0,0,9.77607421875,23.97216796875,0
2024-09-06 오전 9:27:55,Rec,-0.01435546875,-0.0384521484375,0,-0.02392578125,0,0,9.81435546875,23.97216796875,0
2024-09-06 오전 9:27:55,Rec,0.019140625,-0.032958984375,0,-0.0095703125,0,0,9.77607421875,23.97216796875,0
2024-09-06 오전 9:27:56,Rec,-0.02392578125,-0.032958984375,0,0.00478515625,0,0,9.7904296875,23.97216796875,0
2024-09-06 오전 9:27:56,Rec,0.01435546875,-0.0384521484375,0,0.0095703125,0,0,9.80478515625,23.97216796875,0
2024-09-06 오전 9:27:56,Rec,0.00478515625,-0.032958984375,0,-0.01435546875,0,0,9.81435546875,23.97216796875,0
2024-09-06 오전 9:27:57,Rec,0.00478515625,-0.032958984375,0,-0.00478515625,0,0,9.79521484375,23.97216796875,0
2024-09-06 오전 9:27:57,Rec,-0.00478515625,-0.032958984375,0,-0.0095703125,0,0,9.81435546875,23.97216796875,0
2024-09-06 오전 9:27:57,Rec,0,-0.032958984375,0,0.019140625,0,0,9.79521484375,23.97216796875,0
2024-09-06 오전 9:27:58,Rec,0.00478515625,-0.032958984375,0,0,0,0,9.819140625,23.97216796875,0
2024-09-06 오전 9:27:58,Rec,0,-0.032958984375,0,-0.01435546875,0,0,9.78564453125,23.97216796875,0
2024-09-06 오전 9:27:58,Rec,0,-0.0384521484375,0,-0.019140625,0,0,9.8,23.97216796875,0
2024-09-06 오전 9:27:58,Rec,-0.019140625,-0.0384521484375,0,0.00478515625,0,0,9.8095703125,23.97216796875,0
2024-09-06 오전 9:27:59,Rec,0,-0.0384521484375,0,-0.00478515625,0,0,9.80478515625,23.97216796875,0
2024-09-06 오전 9:27:59,Rec,0.00478515625,-0.0384521484375,0,-0.01435546875,0,0,9.80478515625,23.97216796875,0
2024-09-06 오전 9:27:59,Rec,0.00478515625,-0.0384521484375,0,-0.0287109375,0,0,9.8095703125,23.97216796875,0
