날짜,시간,오류 값,온도,습도
2022-12-27,00:00:10,H,0.30,72.30
2022-12-27,00:00:20,H,0.30,72.40
2022-12-27,00:00:30,H,0.30,72.40
2022-12-27,00:00:40,H,0.30,72.40
2022-12-27,00:00:50,H,0.30,72.40
2022-12-27,00:01:00,H,0.30,72.30
2022-12-27,00:01:10,H,0.30,72.30
2022-12-27,00:01:20,H,0.30,72.30
2022-12-27,00:01:30,H,0.30,72.30
2022-12-27,00:01:40,H,0.30,72.00
2022-12-27,00:01:50,H,0.30,71.80
2022-12-27,00:02:00,H,0.30,71.50
2022-12-27,00:02:10,H,0.30,71.30
2022-12-27,00:02:20,H,0.30,71.10
2022-12-27,00:02:30,H,0.30,71.10
2022-12-27,00:02:40,H,0.30,71.40
2022-12-27,00:02:50,H,0.30,71.40
2022-12-27,00:03:00,H,0.30,71.20
2022-12-27,00:03:10,H,0.20,71.00
2022-12-27,00:03:20,H,0.20,70.80
2022-12-27,00:03:30,H,0.20,70.60
2022-12-27,00:03:40,H,0.20,70.30
2022-12-27,00:03:50,H,0.20,70.00
2022-12-27,00:04:00,H,0.20,70.00
2022-12-27,00:04:10,H,0.20,70.00
2022-12-27,00:04:20,H,0.10,70.00
2022-12-27,00:04:30,H,0.10,70.10
2022-12-27,00:04:40,H,0.10,70.10
2022-12-27,00:04:50,H,0.10,70.10
2022-12-27,00:05:00,H,0.10,70.20
2022-12-27,00:05:10,H,0.10,70.50
2022-12-27,00:05:20,H,0.10,70.80
2022-12-27,00:05:30,H,0.10,70.60
2022-12-27,00:05:40,H,0.00,70.10
2022-12-27,00:05:50,H,0.00,69.80
2022-12-27,00:06:00,H,0.00,69.50
2022-12-27,00:06:10,H,0.00,69.40
2022-12-27,00:06:20,H,0.00,69.30
2022-12-27,00:06:30,T,-0.09,69.30
2022-12-27,00:06:30,H,-0.09,69.30
2022-12-27,00:06:40,T,-0.09,69.50
2022-12-27,00:06:40,H,-0.09,69.50
2022-12-27,00:06:50,T,-0.09,69.70
2022-12-27,00:06:50,H,-0.09,69.70
2022-12-27,00:07:00,T,-0.09,69.50
2022-12-27,00:07:00,H,-0.09,69.50
2022-12-27,00:07:10,T,-0.09,69.50
2022-12-27,00:07:10,H,-0.09,69.50
2022-12-27,00:07:20,T,-0.09,69.60
2022-12-27,00:07:20,H,-0.09,69.60
2022-12-27,00:07:30,T,-0.19,69.60
2022-12-27,00:07:30,H,-0.19,69.60
2022-12-27,00:07:40,T,-0.19,69.60
2022-12-27,00:07:40,H,-0.19,69.60
2022-12-27,00:07:50,T,-0.19,69.40
2022-12-27,00:07:50,H,-0.19,69.40
2022-12-27,00:08:00,T,-0.19,69.50
2022-12-27,00:08:00,H,-0.19,69.50
