날짜,시간,오류 값,온도,습도
2022-12-02,00:00:02,H,3.10,61.40
2022-12-02,00:00:12,H,3.10,61.30
2022-12-02,00:00:22,H,3.10,61.30
2022-12-02,00:00:32,H,3.10,61.20
2022-12-02,00:00:42,H,3.10,61.30
2022-12-02,00:00:52,H,3.10,61.30
2022-12-02,00:01:02,H,3.10,61.40
2022-12-02,00:01:12,H,3.10,61.30
2022-12-02,00:01:22,H,3.10,61.20
2022-12-02,00:01:32,H,3.00,61.10
2022-12-02,00:01:42,H,3.10,61.00
2022-12-02,00:01:52,H,3.10,61.10
2022-12-02,00:02:02,H,3.00,61.00
2022-12-02,00:02:12,H,3.10,60.90
2022-12-02,00:02:22,H,3.00,60.90
2022-12-02,00:02:32,H,3.00,60.90
2022-12-02,00:02:42,H,3.00,60.90
2022-12-02,00:02:52,H,3.00,61.00
2022-12-02,00:03:02,H,3.00,61.10
2022-12-02,00:03:12,H,3.00,61.10
2022-12-02,00:03:22,H,3.00,61.30
2022-12-02,00:03:32,H,3.00,61.30
2022-12-02,00:03:42,H,3.00,61.30
2022-12-02,00:03:52,H,3.00,61.40
2022-12-02,00:04:02,H,3.00,61.40
2022-12-02,00:04:12,H,3.00,61.30
2022-12-02,00:04:22,H,3.00,60.90
2022-12-02,00:04:32,H,3.00,60.20
2022-12-02,00:05:52,H,2.90,60.60
2022-12-02,00:06:02,H,2.80,60.90
2022-12-02,00:06:12,H,2.80,61.20
2022-12-02,00:06:22,H,2.80,61.40
2022-12-02,00:06:32,H,2.80,61.60
2022-12-02,00:06:42,H,2.80,61.70
2022-12-02,00:06:52,H,2.80,61.80
2022-12-02,00:07:02,H,2.80,61.80
2022-12-02,00:07:12,H,2.90,61.70
2022-12-02,00:07:22,H,2.80,61.70
2022-12-02,00:07:32,H,2.90,61.80
2022-12-02,00:07:42,H,2.90,61.80
2022-12-02,00:07:52,H,2.90,61.80
2022-12-02,00:08:02,H,2.80,61.70
2022-12-02,00:08:12,H,2.90,61.70
2022-12-02,00:08:22,H,2.90,61.60
2022-12-02,00:08:32,H,2.80,61.60
2022-12-02,00:08:42,H,2.90,61.60
2022-12-02,00:08:52,H,2.90,61.60
2022-12-02,00:09:02,H,2.90,61.70
2022-12-02,00:09:12,H,2.90,61.80
2022-12-02,00:09:22,H,2.90,61.70
2022-12-02,00:09:32,H,2.90,61.80
2022-12-02,00:09:42,H,2.90,61.80
2022-12-02,00:09:52,H,2.90,61.70
2022-12-02,00:10:02,H,2.90,61.70
2022-12-02,00:10:12,H,2.90,61.70
2022-12-02,00:10:22,H,2.90,61.70
2022-12-02,00:10:32,H,2.90,61.80
2022-12-02,00:10:42,H,2.90,61.80
2022-12-02,00:10:52,H,2.90,61.80
2022-12-02,00:11:02,H,2.90,62.00
2022-12-02,00:11:12,H,2.90,62.00
2022-12-02,00:11:22,H,2.90,62.10
2022-12-02,00:11:32,H,2.90,62.10
2022-12-02,00:11:42,H,2.90,62.10
2022-12-02,00:11:52,H,2.90,62.00
2022-12-02,00:12:02,H,2.90,62.00
2022-12-02,00:12:12,H,2.90,62.00
2022-12-02,00:12:22,H,2.90,62.00
2022-12-02,00:12:32,H,2.90,62.00
2022-12-02,00:12:42,H,2.90,61.90
2022-12-02,00:12:52,H,2.90,61.90
2022-12-02,00:13:02,H,2.90,61.80
2022-12-02,00:13:12,H,2.90,61.80
2022-12-02,00:13:22,H,2.90,61.70
2022-12-02,00:13:32,H,2.90,61.20
2022-12-02,00:13:42,H,2.90,60.80
2022-12-02,00:13:52,H,2.90,60.90
2022-12-02,00:14:02,H,2.90,61.10
2022-12-02,00:14:12,H,2.90,61.10
2022-12-02,00:14:22,H,2.90,61.00
2022-12-02,00:14:32,H,2.90,61.10
2022-12-02,00:14:42,H,2.90,60.80
2022-12-02,00:14:52,H,2.90,60.80
2022-12-02,00:15:02,H,2.90,61.20
2022-12-02,00:15:12,H,2.90,61.50
2022-12-02,00:15:22,H,2.90,61.60
2022-12-02,00:15:32,H,2.90,61.70
2022-12-02,00:15:42,H,2.90,61.80
2022-12-02,00:15:52,H,2.90,61.90
2022-12-02,00:16:02,H,2.90,61.90
2022-12-02,00:16:12,H,2.90,62.00
2022-12-02,00:16:22,H,2.90,62.00
2022-12-02,00:16:32,H,2.90,62.00
2022-12-02,00:16:42,H,2.90,62.00
2022-12-02,00:16:52,H,2.90,62.00
2022-12-02,00:17:02,H,2.90,62.10
2022-12-02,00:17:12,H,2.90,62.10
2022-12-02,00:17:22,H,2.90,62.10
2022-12-02,00:17:32,H,2.90,62.20
2022-12-02,00:17:42,H,2.90,62.30
2022-12-02,00:17:52,H,2.90,62.30
2022-12-02,00:18:02,H,2.90,62.40
2022-12-02,00:18:12,H,2.90,62.40
2022-12-02,00:18:32,H,2.90,62.50
2022-12-02,00:18:42,H,2.90,62.50
2022-12-02,00:18:52,H,2.90,62.50
2022-12-02,00:19:02,H,2.90,62.50
2022-12-02,00:19:12,H,3.00,62.50
2022-12-02,00:19:22,H,3.00,62.60
2022-12-02,00:19:32,H,3.00,62.60
2022-12-02,00:19:42,H,3.00,62.60
2022-12-02,00:19:52,H,3.00,62.50
2022-12-02,00:20:02,H,3.00,62.50
2022-12-02,00:20:12,H,3.00,62.50
2022-12-02,00:20:22,H,3.00,62.50
2022-12-02,00:20:32,H,3.00,62.50
2022-12-02,00:20:42,H,3.00,62.50
2022-12-02,00:20:52,H,3.00,62.60
2022-12-02,00:21:02,H,3.00,62.60
2022-12-02,00:21:12,H,3.00,62.60
2022-12-02,00:21:22,H,3.00,62.60
2022-12-02,00:21:32,H,3.00,62.60
2022-12-02,00:21:42,H,3.00,62.60
2022-12-02,00:21:52,H,3.00,62.50
2022-12-02,00:22:02,H,3.00,62.50
2022-12-02,00:22:12,H,3.00,62.50
2022-12-02,00:22:22,H,3.10,62.40
2022-12-02,00:22:32,H,3.10,62.40
2022-12-02,00:22:42,H,3.00,62.30
2022-12-02,00:22:52,H,3.10,62.30
2022-12-02,00:23:02,H,3.10,61.90
2022-12-02,00:23:12,H,3.10,60.80
2022-12-02,00:24:42,H,2.90,60.30
2022-12-02,00:24:52,H,2.90,60.70
2022-12-02,00:25:02,H,2.80,61.00
2022-12-02,00:25:12,H,2.80,61.00
2022-12-02,00:25:22,H,2.80,60.50
2022-12-02,00:25:52,H,2.80,60.60
2022-12-02,00:26:02,H,2.80,61.40
2022-12-02,00:26:12,H,2.80,61.90
2022-12-02,00:26:22,H,2.80,62.30
2022-12-02,00:26:32,H,2.80,62.60
2022-12-02,00:26:42,H,2.80,62.80
2022-12-02,00:26:52,H,2.80,63.00
2022-12-02,00:27:02,H,2.80,63.10
2022-12-02,00:27:12,H,2.80,63.10
2022-12-02,00:27:22,H,2.80,63.20
2022-12-02,00:27:32,H,2.90,63.30
2022-12-02,00:27:42,H,2.90,63.40
2022-12-02,00:27:52,H,2.90,63.40
2022-12-02,00:28:02,H,2.90,63.30
2022-12-02,00:28:12,H,2.90,63.40
2022-12-02,00:28:22,H,2.90,63.40
2022-12-02,00:28:32,H,2.90,63.40
2022-12-02,00:28:42,H,2.90,63.40
2022-12-02,00:28:52,H,2.90,63.50
2022-12-02,00:29:02,H,2.90,63.50
2022-12-02,00:29:12,H,2.90,63.60
2022-12-02,00:29:22,H,3.00,63.60
2022-12-02,00:29:32,H,3.00,63.60
2022-12-02,00:29:42,H,3.00,63.70
2022-12-02,00:29:52,H,3.00,63.70
2022-12-02,00:30:02,H,3.00,63.70
2022-12-02,00:30:12,H,3.00,63.60
2022-12-02,00:30:22,H,3.00,63.50
2022-12-02,00:30:32,H,3.00,63.40
2022-12-02,00:30:42,H,3.00,63.30
2022-12-02,00:30:52,H,3.00,63.30
2022-12-02,00:31:02,H,3.00,63.20
2022-12-02,00:31:12,H,3.00,63.20
2022-12-02,00:31:22,H,3.00,63.20
2022-12-02,00:31:32,H,3.00,63.20
2022-12-02,00:31:42,H,3.00,63.10
2022-12-02,00:31:52,H,3.00,63.10
2022-12-02,00:32:02,H,3.10,63.10
2022-12-02,00:32:12,H,3.10,62.90
2022-12-02,00:32:22,H,3.10,62.80
2022-12-02,00:32:32,H,3.00,62.20
2022-12-02,00:32:42,H,3.00,61.40
2022-12-02,00:32:52,H,3.00,60.90
2022-12-02,00:33:02,H,3.00,60.60
2022-12-02,00:33:12,H,3.00,60.10
2022-12-02,00:34:02,H,2.90,60.10
2022-12-02,00:34:12,H,2.90,61.00
2022-12-02,00:34:22,H,2.90,61.80
2022-12-02,00:34:32,H,2.90,62.40
2022-12-02,00:34:42,H,2.90,62.80
2022-12-02,00:34:52,H,2.90,63.10
2022-12-02,00:35:02,H,2.90,63.20
2022-12-02,00:35:12,H,2.90,63.20
2022-12-02,00:35:22,H,2.90,63.20
2022-12-02,00:35:32,H,2.90,63.30
2022-12-02,00:35:42,H,2.90,63.30
2022-12-02,00:35:52,H,3.00,63.40
2022-12-02,00:36:02,H,3.00,63.50
2022-12-02,00:36:12,H,3.00,63.60
2022-12-02,00:36:22,H,3.00,63.60
2022-12-02,00:36:32,H,3.00,63.70
2022-12-02,00:36:42,H,3.00,63.70
2022-12-02,00:36:52,H,3.00,63.70
2022-12-02,00:37:02,H,3.00,63.60
2022-12-02,00:37:12,H,3.00,63.50
2022-12-02,00:37:22,H,3.00,63.60
2022-12-02,00:37:32,H,3.00,63.60
2022-12-02,00:37:42,H,3.00,63.70
2022-12-02,00:37:52,H,3.00,63.70
2022-12-02,00:38:02,H,3.00,63.70
2022-12-02,00:38:12,H,3.10,63.70
2022-12-02,00:38:22,H,3.10,63.70
2022-12-02,00:38:32,H,3.10,63.70
2022-12-02,00:38:42,H,3.10,63.70
2022-12-02,00:38:52,H,3.10,63.70
2022-12-02,00:39:02,H,3.10,63.70
2022-12-02,00:39:12,H,3.10,63.60
2022-12-02,00:39:32,H,3.10,63.60
2022-12-02,00:39:42,H,3.10,63.60
2022-12-02,00:39:52,H,3.10,63.60
2022-12-02,00:40:02,H,3.10,63.60
2022-12-02,00:40:12,H,3.10,63.50
2022-12-02,00:40:22,H,3.10,63.50
2022-12-02,00:40:32,H,3.10,63.50
2022-12-02,00:40:42,H,3.10,63.40
2022-12-02,00:40:52,H,3.10,63.40
2022-12-02,00:41:02,H,3.20,63.50
2022-12-02,00:41:12,H,3.20,63.50
2022-12-02,00:41:22,H,3.20,63.50
2022-12-02,00:41:32,H,3.20,63.40
2022-12-02,00:41:42,H,3.20,63.40
2022-12-02,00:41:52,H,3.20,63.40
2022-12-02,00:42:02,H,3.20,63.40
2022-12-02,00:42:12,H,3.20,63.40
2022-12-02,00:42:22,H,3.20,63.50
2022-12-02,00:42:32,H,3.20,63.60
2022-12-02,00:42:42,H,3.20,63.60
2022-12-02,00:42:52,H,3.20,63.60
2022-12-02,00:43:02,H,3.20,63.60
2022-12-02,00:43:12,H,3.20,63.70
2022-12-02,00:43:22,H,3.20,63.70
2022-12-02,00:43:32,H,3.20,63.60
2022-12-02,00:43:42,H,3.20,63.60
2022-12-02,00:43:52,H,3.20,63.60
2022-12-02,00:44:02,H,3.20,63.50
2022-12-02,00:44:12,H,3.20,63.50
2022-12-02,00:44:22,H,3.20,63.60
2022-12-02,00:44:32,H,3.20,63.60
2022-12-02,00:44:42,H,3.20,63.70
2022-12-02,00:44:52,H,3.20,63.60
2022-12-02,00:45:02,H,3.20,63.60
2022-12-02,00:45:12,H,3.20,63.50
2022-12-02,00:45:22,H,3.20,63.40
2022-12-02,00:45:32,H,3.20,63.40
2022-12-02,00:45:42,H,3.30,63.40
2022-12-02,00:45:52,H,3.30,63.40
2022-12-02,00:46:02,H,3.30,62.80
2022-12-02,00:46:12,H,3.20,61.60
2022-12-02,00:46:22,H,3.20,61.10
2022-12-02,00:46:32,H,3.20,61.20
