날짜,시간,오류 값,온도,습도
2022-12-24,00:00:01,T,-3.49,68.20
2022-12-24,00:00:01,H,-3.49,68.20
2022-12-24,00:00:11,T,-3.49,68.20
2022-12-24,00:00:11,H,-3.49,68.20
2022-12-24,00:00:21,T,-3.49,68.20
2022-12-24,00:00:21,H,-3.49,68.20
2022-12-24,00:00:31,T,-3.49,68.10
2022-12-24,00:00:31,H,-3.49,68.10
2022-12-24,00:00:41,T,-3.49,68.00
2022-12-24,00:00:41,H,-3.49,68.00
2022-12-24,00:00:51,T,-3.49,67.80
2022-12-24,00:00:51,H,-3.49,67.80
2022-12-24,00:01:01,T,-3.59,67.70
2022-12-24,00:01:01,H,-3.59,67.70
2022-12-24,00:01:11,T,-3.59,67.70
2022-12-24,00:01:11,H,-3.59,67.70
2022-12-24,00:01:21,T,-3.59,67.80
2022-12-24,00:01:21,H,-3.59,67.80
2022-12-24,00:01:31,T,-3.59,68.00
2022-12-24,00:01:31,H,-3.59,68.00
2022-12-24,00:01:41,T,-3.59,68.10
2022-12-24,00:01:41,H,-3.59,68.10
2022-12-24,00:01:51,T,-3.59,68.20
2022-12-24,00:01:51,H,-3.59,68.20
2022-12-24,00:02:01,T,-3.59,68.20
2022-12-24,00:02:01,H,-3.59,68.20
2022-12-24,00:02:11,T,-3.59,68.30
2022-12-24,00:02:11,H,-3.59,68.30
2022-12-24,00:02:21,T,-3.59,68.40
2022-12-24,00:02:21,H,-3.59,68.40
2022-12-24,00:02:31,T,-3.59,68.50
2022-12-24,00:02:31,H,-3.59,68.50
2022-12-24,00:02:41,T,-3.59,68.60
2022-12-24,00:02:41,H,-3.59,68.60
2022-12-24,00:02:51,T,-3.59,68.70
2022-12-24,00:02:51,H,-3.59,68.70
2022-12-24,00:03:01,T,-3.59,68.80
2022-12-24,00:03:01,H,-3.59,68.80
2022-12-24,00:03:11,T,-3.59,68.80
2022-12-24,00:03:11,H,-3.59,68.80
2022-12-24,00:03:21,T,-3.59,68.70
2022-12-24,00:03:21,H,-3.59,68.70
2022-12-24,00:03:31,T,-3.59,68.70
2022-12-24,00:03:31,H,-3.59,68.70
2022-12-24,00:03:41,T,-3.59,68.70
2022-12-24,00:03:41,H,-3.59,68.70
2022-12-24,00:03:51,T,-3.59,68.70
2022-12-24,00:03:51,H,-3.59,68.70
2022-12-24,00:04:01,T,-3.59,68.70
2022-12-24,00:04:01,H,-3.59,68.70
2022-12-24,00:04:11,T,-3.59,68.80
2022-12-24,00:04:11,H,-3.59,68.80
2022-12-24,00:04:21,T,-3.59,68.80
2022-12-24,00:04:21,H,-3.59,68.80
2022-12-24,00:04:31,T,-3.59,68.90
