날짜,시간,오류 값,온도,습도
2022-12-24,00:00:06,T,-4.09,71.00
2022-12-24,00:00:06,H,-4.09,71.00
2022-12-24,00:00:16,T,-4.09,70.90
2022-12-24,00:00:16,H,-4.09,70.90
2022-12-24,00:00:26,T,-4.09,70.80
2022-12-24,00:00:26,H,-4.09,70.80
2022-12-24,00:00:36,T,-4.09,70.80
2022-12-24,00:00:36,H,-4.09,70.80
2022-12-24,00:00:46,T,-4.09,70.80
2022-12-24,00:00:46,H,-4.09,70.80
2022-12-24,00:00:56,T,-4.09,70.70
2022-12-24,00:00:56,H,-4.09,70.70
2022-12-24,00:01:06,T,-4.09,70.50
2022-12-24,00:01:06,H,-4.09,70.50
2022-12-24,00:01:16,T,-4.09,70.40
2022-12-24,00:01:16,H,-4.09,70.40
2022-12-24,00:01:26,T,-4.09,70.20
2022-12-24,00:01:26,H,-4.09,70.20
2022-12-24,00:01:36,T,-4.09,70.10
2022-12-24,00:01:36,H,-4.09,70.10
2022-12-24,00:01:46,T,-4.09,69.90
2022-12-24,00:01:46,H,-4.09,69.90
2022-12-24,00:01:56,T,-4.09,70.00
2022-12-24,00:01:56,H,-4.09,70.00
2022-12-24,00:02:06,T,-4.19,70.00
2022-12-24,00:02:06,H,-4.19,70.00
2022-12-24,00:02:16,T,-4.19,70.10
2022-12-24,00:02:16,H,-4.19,70.10
2022-12-24,00:02:26,T,-4.19,70.30
2022-12-24,00:02:26,H,-4.19,70.30
2022-12-24,00:02:36,T,-4.19,70.50
2022-12-24,00:02:36,H,-4.19,70.50
2022-12-24,00:02:46,T,-4.19,70.70
2022-12-24,00:02:46,H,-4.19,70.70
2022-12-24,00:02:56,T,-4.19,70.80
2022-12-24,00:02:56,H,-4.19,70.80
2022-12-24,00:03:06,T,-4.19,70.80
2022-12-24,00:03:06,H,-4.19,70.80
2022-12-24,00:03:16,T,-4.19,70.90
2022-12-24,00:03:16,H,-4.19,70.90
2022-12-24,00:03:26,T,-4.19,70.80
2022-12-24,00:03:26,H,-4.19,70.80
2022-12-24,00:03:36,T,-4.19,70.70
2022-12-24,00:03:36,H,-4.19,70.70
2022-12-24,00:03:46,T,-4.19,70.40
2022-12-24,00:03:46,H,-4.19,70.40
2022-12-24,00:03:56,T,-4.19,70.30
2022-12-24,00:03:56,H,-4.19,70.30
2022-12-24,00:04:06,T,-4.19,70.30
2022-12-24,00:04:06,H,-4.19,70.30
2022-12-24,00:04:16,T,-4.19,70.30
2022-12-24,00:04:16,H,-4.19,70.30
2022-12-24,00:04:26,T,-4.19,70.10
2022-12-24,00:04:26,H,-4.19,70.10
2022-12-24,00:04:36,T,-4.19,70.00
2022-12-24,00:04:36,H,-4.19,70.00
2022-12-24,00:04:46,T,-4.19,70.10
2022-12-24,00:04:46,H,-4.19,70.10
2022-12-24,00:04:56,T,-4.19,70.30
2022-12-24,00:04:56,H,-4.19,70.30
2022-12-24,00:05:06,T,-4.19,70.30
2022-12-24,00:05:06,H,-4.19,70.30
2022-12-24,00:05:16,T,-4.29,70.20
2022-12-24,00:05:16,H,-4.29,70.20
2022-12-24,00:05:26,T,-4.29,70.00
2022-12-24,00:05:26,H,-4.29,70.00
2022-12-24,00:05:36,T,-4.29,69.70
2022-12-24,00:05:36,H,-4.29,69.70
2022-12-24,00:05:46,T,-4.29,69.60
2022-12-24,00:05:46,H,-4.29,69.60
2022-12-24,00:05:56,T,-4.29,69.80
2022-12-24,00:05:56,H,-4.29,69.80
2022-12-24,00:06:06,T,-4.29,70.10
2022-12-24,00:06:06,H,-4.29,70.10
2022-12-24,00:06:16,T,-4.29,70.40
2022-12-24,00:06:16,H,-4.29,70.40
2022-12-24,00:06:26,T,-4.29,70.50
2022-12-24,00:06:26,H,-4.29,70.50
2022-12-24,00:06:36,T,-4.29,70.50
2022-12-24,00:06:36,H,-4.29,70.50
2022-12-24,00:06:46,T,-4.29,70.60
2022-12-24,00:06:46,H,-4.29,70.60
2022-12-24,00:06:56,T,-4.29,70.80
2022-12-24,00:06:56,H,-4.29,70.80
2022-12-24,00:07:06,T,-4.29,70.80
2022-12-24,00:07:06,H,-4.29,70.80
2022-12-24,00:07:16,T,-4.29,70.80
2022-12-24,00:07:16,H,-4.29,70.80
2022-12-24,00:07:26,T,-4.29,70.90
2022-12-24,00:07:26,H,-4.29,70.90
2022-12-24,00:07:36,T,-4.29,71.10
2022-12-24,00:07:36,H,-4.29,71.10
2022-12-24,00:07:46,T,-4.29,71.40
2022-12-24,00:07:46,H,-4.29,71.40
2022-12-24,00:07:56,T,-4.29,71.60
2022-12-24,00:07:56,H,-4.29,71.60
2022-12-24,00:08:06,T,-4.29,71.60
2022-12-24,00:08:06,H,-4.29,71.60
2022-12-24,00:08:16,T,-4.29,71.60
2022-12-24,00:08:16,H,-4.29,71.60
2022-12-24,00:08:26,T,-4.29,71.60
2022-12-24,00:08:26,H,-4.29,71.60
2022-12-24,00:08:36,T,-4.29,71.80
2022-12-24,00:08:36,H,-4.29,71.80
2022-12-24,00:08:46,T,-4.29,71.80
2022-12-24,00:08:46,H,-4.29,71.80
2022-12-24,00:08:56,T,-4.29,71.90
2022-12-24,00:08:56,H,-4.29,71.90
2022-12-24,00:09:06,T,-4.29,72.10
2022-12-24,00:09:06,H,-4.29,72.10
2022-12-24,00:09:16,T,-4.29,72.20
2022-12-24,00:09:16,H,-4.29,72.20
2022-12-24,00:09:36,T,-4.29,72.30
2022-12-24,00:09:36,H,-4.29,72.30
2022-12-24,00:09:46,T,-4.29,72.10
2022-12-24,00:09:46,H,-4.29,72.10
2022-12-24,00:09:56,T,-4.19,71.90
2022-12-24,00:09:56,H,-4.19,71.90
2022-12-24,00:10:06,T,-4.19,71.60
2022-12-24,00:10:06,H,-4.19,71.60
2022-12-24,00:10:16,T,-4.29,71.10
2022-12-24,00:10:16,H,-4.29,71.10
2022-12-24,00:10:26,T,-4.29,70.60
2022-12-24,00:10:26,H,-4.29,70.60
2022-12-24,00:10:36,T,-4.29,70.20
2022-12-24,00:10:36,H,-4.29,70.20
2022-12-24,00:10:46,T,-4.29,70.20
2022-12-24,00:10:46,H,-4.29,70.20
