날짜,시간,오류 값,온도,습도
2022-12-19,00:00:06,T,-2.59,66.70
2022-12-19,00:00:06,H,-2.59,66.70
2022-12-19,00:00:16,T,-2.59,66.80
2022-12-19,00:00:16,H,-2.59,66.80
2022-12-19,00:00:26,T,-2.59,67.30
2022-12-19,00:00:26,H,-2.59,67.30
2022-12-19,00:00:36,T,-2.59,67.70
2022-12-19,00:00:36,H,-2.59,67.70
2022-12-19,00:00:46,T,-2.59,67.70
2022-12-19,00:00:46,H,-2.59,67.70
2022-12-19,00:00:56,T,-2.59,67.30
2022-12-19,00:00:56,H,-2.59,67.30
2022-12-19,00:01:06,T,-2.59,67.00
2022-12-19,00:01:06,H,-2.59,67.00
2022-12-19,00:01:16,T,-2.59,66.90
2022-12-19,00:01:16,H,-2.59,66.90
2022-12-19,00:01:26,T,-2.59,67.00
2022-12-19,00:01:26,H,-2.59,67.00
2022-12-19,00:01:36,T,-2.59,67.10
2022-12-19,00:01:36,H,-2.59,67.10
2022-12-19,00:01:46,T,-2.59,67.40
2022-12-19,00:01:46,H,-2.59,67.40
2022-12-19,00:01:56,T,-2.59,67.80
2022-12-19,00:01:56,H,-2.59,67.80
2022-12-19,00:02:06,T,-2.59,68.20
2022-12-19,00:02:06,H,-2.59,68.20
2022-12-19,00:02:16,T,-2.59,68.50
2022-12-19,00:02:16,H,-2.59,68.50
2022-12-19,00:02:26,T,-2.59,68.50
2022-12-19,00:02:26,H,-2.59,68.50
2022-12-19,00:02:36,T,-2.59,68.60
2022-12-19,00:02:36,H,-2.59,68.60
2022-12-19,00:02:46,T,-2.59,68.60
2022-12-19,00:02:46,H,-2.59,68.60
2022-12-19,00:03:06,T,-2.59,68.20
2022-12-19,00:03:06,H,-2.59,68.20
2022-12-19,00:03:16,T,-2.59,68.20
2022-12-19,00:03:16,H,-2.59,68.20
2022-12-19,00:03:26,T,-2.59,67.90
2022-12-19,00:03:26,H,-2.59,67.90
2022-12-19,00:03:36,T,-2.59,67.60
2022-12-19,00:03:36,H,-2.59,67.60
2022-12-19,00:03:46,T,-2.59,67.80
2022-12-19,00:03:46,H,-2.59,67.80
2022-12-19,00:03:56,T,-2.59,68.20
2022-12-19,00:03:56,H,-2.59,68.20
2022-12-19,00:04:06,T,-2.59,68.50
2022-12-19,00:04:06,H,-2.59,68.50
2022-12-19,00:04:16,T,-2.59,68.80
2022-12-19,00:04:16,H,-2.59,68.80
2022-12-19,00:04:26,T,-2.49,69.00
2022-12-19,00:04:26,H,-2.49,69.00
2022-12-19,00:04:36,T,-2.49,68.90
2022-12-19,00:04:36,H,-2.49,68.90
2022-12-19,00:04:46,T,-2.49,68.70
2022-12-19,00:04:46,H,-2.49,68.70
2022-12-19,00:04:56,T,-2.49,68.60
2022-12-19,00:04:56,H,-2.49,68.60
2022-12-19,00:05:06,T,-2.49,68.60
2022-12-19,00:05:06,H,-2.49,68.60
2022-12-19,00:05:16,T,-2.49,68.40
2022-12-19,00:05:16,H,-2.49,68.40
2022-12-19,00:05:26,T,-2.49,68.10
2022-12-19,00:05:26,H,-2.49,68.10
2022-12-19,00:05:36,T,-2.49,67.80
2022-12-19,00:05:36,H,-2.49,67.80
2022-12-19,00:05:46,T,-2.49,68.00
2022-12-19,00:05:46,H,-2.49,68.00
2022-12-19,00:05:56,T,-2.49,67.80
2022-12-19,00:05:56,H,-2.49,67.80
2022-12-19,00:06:06,T,-2.49,67.80
2022-12-19,00:06:06,H,-2.49,67.80
2022-12-19,00:06:16,T,-2.49,67.80
2022-12-19,00:06:16,H,-2.49,67.80
2022-12-19,00:06:26,T,-2.49,68.00
2022-12-19,00:06:26,H,-2.49,68.00
2022-12-19,00:06:36,T,-2.49,68.40
2022-12-19,00:06:36,H,-2.49,68.40
2022-12-19,00:06:46,T,-2.49,68.70
2022-12-19,00:06:46,H,-2.49,68.70
2022-12-19,00:06:56,T,-2.49,69.00
2022-12-19,00:06:56,H,-2.49,69.00
2022-12-19,00:07:06,T,-2.49,69.10
2022-12-19,00:07:06,H,-2.49,69.10
2022-12-19,00:07:16,T,-2.49,69.30
2022-12-19,00:07:16,H,-2.49,69.30
2022-12-19,00:07:26,T,-2.49,69.50
2022-12-19,00:07:26,H,-2.49,69.50
2022-12-19,00:07:36,T,-2.49,69.60
2022-12-19,00:07:36,H,-2.49,69.60
2022-12-19,00:07:46,T,-2.49,69.70
2022-12-19,00:07:46,H,-2.49,69.70
2022-12-19,00:07:56,T,-2.49,69.80
2022-12-19,00:07:56,H,-2.49,69.80
