날짜,시간,오류 값,온도,습도
2022-12-16,00:00:07,H,2.20,73.30
2022-12-16,00:00:17,H,2.20,73.20
2022-12-16,00:00:27,H,2.20,73.30
2022-12-16,00:00:37,H,2.20,73.40
2022-12-16,00:00:47,H,2.20,73.50
2022-12-16,00:00:57,H,2.20,73.40
2022-12-16,00:01:07,H,2.20,73.40
2022-12-16,00:01:17,H,2.20,73.40
2022-12-16,00:01:27,H,2.20,73.40
2022-12-16,00:01:37,H,2.20,73.30
2022-12-16,00:01:47,H,2.20,73.30
2022-12-16,00:01:57,H,2.20,73.40
2022-12-16,00:02:07,H,2.20,73.40
2022-12-16,00:02:17,H,2.20,73.50
2022-12-16,00:02:27,H,2.30,73.50
2022-12-16,00:02:37,H,2.30,73.40
2022-12-16,00:02:47,H,2.30,73.20
2022-12-16,00:02:57,H,2.30,72.90
2022-12-16,00:03:07,H,2.30,72.90
2022-12-16,00:03:17,H,2.30,73.10
2022-12-16,00:03:27,H,2.30,73.20
2022-12-16,00:03:37,H,2.30,73.30
2022-12-16,00:03:47,H,2.30,73.30
2022-12-16,00:03:57,H,2.30,73.40
2022-12-16,00:04:07,H,2.30,73.50
2022-12-16,00:04:17,H,2.30,73.50
2022-12-16,00:04:27,H,2.30,73.50
2022-12-16,00:04:37,H,2.30,73.60
2022-12-16,00:04:47,H,2.30,73.60
2022-12-16,00:04:57,H,2.30,73.60
2022-12-16,00:05:07,H,2.30,73.50
2022-12-16,00:05:17,H,2.30,73.50
2022-12-16,00:05:27,H,2.30,73.50
2022-12-16,00:05:37,H,2.30,73.50
2022-12-16,00:05:47,H,2.30,73.50
2022-12-16,00:05:57,H,2.30,73.50
2022-12-16,00:06:07,H,2.30,73.50
2022-12-16,00:06:17,H,2.30,73.50
2022-12-16,00:06:27,H,2.30,73.50
2022-12-16,00:06:37,H,2.30,73.60
2022-12-16,00:06:47,H,2.30,73.50
2022-12-16,00:06:57,H,2.30,73.40
2022-12-16,00:07:07,H,2.30,73.30
2022-12-16,00:07:17,H,2.30,73.30
2022-12-16,00:07:27,H,2.30,73.30
2022-12-16,00:07:37,H,2.30,73.40
2022-12-16,00:07:47,H,2.30,73.40
2022-12-16,00:07:57,H,2.30,73.30
2022-12-16,00:08:07,H,2.30,73.30
2022-12-16,00:08:17,H,2.30,73.30
2022-12-16,00:08:27,H,2.30,73.30
2022-12-16,00:08:37,H,2.30,73.30
2022-12-16,00:08:47,H,2.30,73.30
2022-12-16,00:08:57,H,2.30,73.40
