날짜,시간,오류 값,온도,습도
2022-12-20,00:00:02,H,0.00,71.80
2022-12-20,00:00:12,H,0.00,71.80
2022-12-20,00:00:22,H,0.10,71.80
2022-12-20,00:00:32,H,0.00,71.60
2022-12-20,00:00:42,H,0.10,71.50
2022-12-20,00:00:52,H,0.10,71.50
2022-12-20,00:01:02,H,0.10,71.50
2022-12-20,00:01:12,H,0.10,71.40
2022-12-20,00:01:22,H,0.10,71.20
2022-12-20,00:01:32,H,0.10,71.10
2022-12-20,00:01:42,H,0.10,71.30
2022-12-20,00:01:52,H,0.10,71.50
2022-12-20,00:02:02,H,0.10,71.70
2022-12-20,00:02:12,H,0.10,71.90
2022-12-20,00:02:22,H,0.10,72.10
2022-12-20,00:02:32,H,0.10,72.20
2022-12-20,00:02:42,H,0.10,72.30
2022-12-20,00:02:52,H,0.20,72.30
2022-12-20,00:03:02,H,0.20,72.40
2022-12-20,00:03:12,H,0.20,72.40
2022-12-20,00:03:22,H,0.20,72.30
2022-12-20,00:03:32,H,0.20,72.30
2022-12-20,00:03:42,H,0.20,72.30
2022-12-20,00:03:52,H,0.20,72.30
2022-12-20,00:04:02,H,0.20,72.40
2022-12-20,00:04:12,H,0.20,72.40
2022-12-20,00:04:22,H,0.30,72.40
2022-12-20,00:04:32,H,0.30,72.50
2022-12-20,00:04:42,H,0.30,72.50
2022-12-20,00:04:52,H,0.30,72.50
2022-12-20,00:05:02,H,0.30,72.50
2022-12-20,00:05:12,H,0.30,72.40
2022-12-20,00:05:22,H,0.30,72.40
2022-12-20,00:05:32,H,0.30,72.40
2022-12-20,00:05:42,H,0.30,72.40
2022-12-20,00:05:52,H,0.30,72.40
2022-12-20,00:06:02,H,0.30,72.00
2022-12-20,00:06:12,H,0.30,71.40
2022-12-20,00:06:22,H,0.30,70.90
2022-12-20,00:06:32,H,0.30,70.50
2022-12-20,00:06:42,H,0.30,70.60
2022-12-20,00:06:52,H,0.30,70.80
2022-12-20,00:07:02,H,0.30,70.80
2022-12-20,00:07:12,H,0.30,70.40
2022-12-20,00:07:22,H,0.30,69.90
2022-12-20,00:07:32,H,0.30,69.60
2022-12-20,00:07:42,H,0.30,69.50
2022-12-20,00:07:52,H,0.30,69.50
2022-12-20,00:08:02,H,0.30,69.60
2022-12-20,00:08:12,H,0.30,70.00
2022-12-20,00:08:22,H,0.30,70.40
2022-12-20,00:08:32,H,0.20,70.90
2022-12-20,00:08:42,H,0.30,71.40
2022-12-20,00:08:52,H,0.20,71.80
2022-12-20,00:09:02,H,0.30,72.00
2022-12-20,00:09:12,H,0.30,72.10
2022-12-20,00:09:22,H,0.30,72.10
2022-12-20,00:09:32,H,0.30,72.20
2022-12-20,00:09:42,H,0.30,72.20
2022-12-20,00:09:52,H,0.30,72.30
2022-12-20,00:10:02,H,0.30,72.30
2022-12-20,00:10:12,H,0.30,72.30
2022-12-20,00:10:22,H,0.30,72.30
2022-12-20,00:10:32,H,0.40,72.30
2022-12-20,00:10:42,H,0.30,72.30
2022-12-20,00:10:52,H,0.40,72.20
2022-12-20,00:11:02,H,0.40,72.10
2022-12-20,00:11:12,H,0.40,72.10
2022-12-20,00:11:22,H,0.40,72.20
2022-12-20,00:11:32,H,0.40,72.10
2022-12-20,00:11:42,H,0.40,72.10
2022-12-20,00:11:52,H,0.40,72.00
2022-12-20,00:12:02,H,0.40,72.00
2022-12-20,00:12:12,H,0.40,71.90
2022-12-20,00:12:22,H,0.40,71.90
2022-12-20,00:12:32,H,0.40,71.80
2022-12-20,00:12:42,H,0.40,71.80
2022-12-20,00:12:52,H,0.40,71.70
2022-12-20,00:13:02,H,0.40,71.60
2022-12-20,00:13:12,H,0.40,71.60
2022-12-20,00:13:22,H,0.40,71.60
2022-12-20,00:13:32,H,0.40,71.60
2022-12-20,00:13:42,H,0.40,71.60
2022-12-20,00:13:52,H,0.40,71.60
2022-12-20,00:14:02,H,0.40,71.60
2022-12-20,00:14:12,H,0.50,71.60
2022-12-20,00:14:22,H,0.40,71.60
2022-12-20,00:14:32,H,0.40,71.60
2022-12-20,00:14:42,H,0.40,71.60
2022-12-20,00:14:52,H,0.40,71.60
2022-12-20,00:15:02,H,0.40,71.60
2022-12-20,00:15:12,H,0.40,71.70
2022-12-20,00:15:22,H,0.40,71.70
2022-12-20,00:15:32,H,0.40,71.70
2022-12-20,00:15:42,H,0.40,71.70
2022-12-20,00:15:52,H,0.40,71.70
2022-12-20,00:16:02,H,0.50,71.70
2022-12-20,00:16:12,H,0.50,71.70
2022-12-20,00:16:22,H,0.50,71.80
2022-12-20,00:16:32,H,0.50,71.80
2022-12-20,00:16:42,H,0.50,71.80
2022-12-20,00:16:52,H,0.50,71.80
2022-12-20,00:17:02,H,0.50,71.80
2022-12-20,00:17:12,H,0.50,71.80
2022-12-20,00:17:22,H,0.50,71.80
2022-12-20,00:17:32,H,0.50,71.80
2022-12-20,00:17:42,H,0.50,71.80
2022-12-20,00:17:52,H,0.50,71.70
2022-12-20,00:18:02,H,0.50,71.80
2022-12-20,00:18:12,H,0.50,71.70
2022-12-20,00:18:22,H,0.50,71.70
2022-12-20,00:18:32,H,0.50,71.70
2022-12-20,00:18:42,H,0.50,71.70
2022-12-20,00:18:52,H,0.50,71.70
2022-12-20,00:19:02,H,0.50,71.60
2022-12-20,00:19:12,H,0.50,71.70
2022-12-20,00:19:22,H,0.50,71.70
2022-12-20,00:19:32,H,0.50,71.70
2022-12-20,00:19:42,H,0.50,71.70
2022-12-20,00:19:52,H,0.50,71.60
2022-12-20,00:20:02,H,0.50,71.60
2022-12-20,00:20:12,H,0.50,71.60
2022-12-20,00:20:22,H,0.50,71.60
2022-12-20,00:20:32,H,0.50,71.60
2022-12-20,00:20:42,H,0.50,71.60
2022-12-20,00:20:52,H,0.50,71.60
2022-12-20,00:21:02,H,0.50,71.60
2022-12-20,00:21:12,H,0.50,71.70
2022-12-20,00:21:22,H,0.50,71.70
2022-12-20,00:21:32,H,0.50,71.70
2022-12-20,00:21:42,H,0.50,71.50
2022-12-20,00:21:52,H,0.50,71.20
2022-12-20,00:22:02,H,0.50,70.70
2022-12-20,00:22:12,H,0.50,70.40
2022-12-20,00:22:22,H,0.50,70.50
2022-12-20,00:22:32,H,0.50,70.70
2022-12-20,00:22:42,H,0.50,70.80
2022-12-20,00:22:52,H,0.50,70.80
2022-12-20,00:23:02,H,0.50,70.80
2022-12-20,00:23:12,H,0.50,70.90
2022-12-20,00:23:22,H,0.50,71.10
2022-12-20,00:23:32,H,0.50,71.20
2022-12-20,00:23:42,H,0.50,71.40
2022-12-20,00:23:52,H,0.50,71.50
2022-12-20,00:24:02,H,0.50,71.60
2022-12-20,00:24:12,H,0.50,71.70
2022-12-20,00:24:22,H,0.50,71.70
2022-12-20,00:24:32,H,0.50,71.70
2022-12-20,00:24:42,H,0.60,71.80
2022-12-20,00:24:52,H,0.60,71.80
2022-12-20,00:25:02,H,0.60,71.90
2022-12-20,00:25:12,H,0.60,71.90
2022-12-20,00:25:22,H,0.60,71.90
2022-12-20,00:25:32,H,0.60,71.80
2022-12-20,00:25:42,H,0.60,71.70
2022-12-20,00:25:52,H,0.60,71.60
2022-12-20,00:26:12,H,0.60,71.70
2022-12-20,00:26:22,H,0.60,71.70
2022-12-20,00:26:32,H,0.60,71.40
2022-12-20,00:26:42,H,0.60,70.80
2022-12-20,00:26:52,H,0.60,70.40
2022-12-20,00:27:02,H,0.60,70.20
2022-12-20,00:27:12,H,0.60,70.00
2022-12-20,00:27:22,H,0.50,69.50
2022-12-20,00:27:32,H,0.50,69.10
2022-12-20,00:27:42,H,0.50,69.10
2022-12-20,00:27:52,H,0.50,68.90
2022-12-20,00:28:02,H,0.50,68.40
2022-12-20,00:28:12,H,0.50,68.20
2022-12-20,00:28:22,H,0.40,68.20
2022-12-20,00:28:32,H,0.40,68.20
2022-12-20,00:28:42,H,0.40,68.10
2022-12-20,00:28:52,H,0.40,68.20
2022-12-20,00:29:02,H,0.30,68.50
2022-12-20,00:29:12,H,0.40,68.60
2022-12-20,00:29:22,H,0.30,69.00
2022-12-20,00:29:32,H,0.30,69.10
2022-12-20,00:29:42,H,0.30,69.10
2022-12-20,00:29:52,H,0.30,69.30
2022-12-20,00:30:02,H,0.30,69.30
2022-12-20,00:30:12,H,0.30,69.50
2022-12-20,00:30:22,H,0.30,69.60
2022-12-20,00:30:32,H,0.30,69.80
2022-12-20,00:30:42,H,0.30,70.30
2022-12-20,00:30:52,H,0.30,70.50
2022-12-20,00:31:02,H,0.30,70.50
2022-12-20,00:31:12,H,0.30,70.60
2022-12-20,00:31:22,H,0.30,70.70
2022-12-20,00:31:32,H,0.30,70.80
2022-12-20,00:31:42,H,0.30,70.80
2022-12-20,00:31:52,H,0.30,70.60
2022-12-20,00:32:02,H,0.30,70.20
2022-12-20,00:32:12,H,0.30,69.90
2022-12-20,00:32:22,H,0.20,69.60
2022-12-20,00:32:32,H,0.30,69.30
2022-12-20,00:32:42,H,0.20,68.90
2022-12-20,00:32:52,H,0.20,68.60
2022-12-20,00:33:02,H,0.20,68.40
2022-12-20,00:33:12,H,0.20,68.20
2022-12-20,00:33:22,H,0.20,68.20
2022-12-20,00:33:32,H,0.10,68.10
2022-12-20,00:33:42,H,0.10,67.90
2022-12-20,00:33:52,H,0.10,67.50
2022-12-20,00:34:01,H,0.10,67.00
2022-12-20,00:34:11,H,0.10,66.80
2022-12-20,00:34:21,H,0.00,66.70
2022-12-20,00:34:31,H,0.00,66.70
2022-12-20,00:34:41,H,0.00,67.10
2022-12-20,00:34:51,H,0.00,67.20
2022-12-20,00:35:01,T,-0.09,67.40
2022-12-20,00:35:01,H,-0.09,67.40
2022-12-20,00:35:11,T,-0.09,67.70
2022-12-20,00:35:11,H,-0.09,67.70
2022-12-20,00:35:21,T,-0.09,68.00
2022-12-20,00:35:21,H,-0.09,68.00
2022-12-20,00:35:31,T,-0.09,68.10
2022-12-20,00:35:31,H,-0.09,68.10
2022-12-20,00:35:41,T,-0.09,68.70
2022-12-20,00:35:41,H,-0.09,68.70
2022-12-20,00:35:51,T,-0.09,69.60
2022-12-20,00:35:51,H,-0.09,69.60
2022-12-20,00:36:01,T,-0.09,70.40
2022-12-20,00:36:01,H,-0.09,70.40
2022-12-20,00:36:11,T,-0.09,71.00
2022-12-20,00:36:11,H,-0.09,71.00
2022-12-20,00:36:21,T,-0.09,71.50
2022-12-20,00:36:21,H,-0.09,71.50
2022-12-20,00:36:31,T,-0.09,71.70
2022-12-20,00:36:31,H,-0.09,71.70
2022-12-20,00:36:51,H,0.00,72.10
2022-12-20,00:37:01,H,0.00,72.20
2022-12-20,00:37:11,H,0.00,72.40
2022-12-20,00:37:21,H,0.00,72.50
2022-12-20,00:37:31,H,0.00,72.60
2022-12-20,00:37:41,H,0.00,72.60
2022-12-20,00:37:51,H,0.10,72.70
2022-12-20,00:38:01,H,0.10,72.70
2022-12-20,00:38:11,H,0.10,72.80
2022-12-20,00:38:21,H,0.10,72.80
2022-12-20,00:38:31,H,0.10,72.90
2022-12-20,00:38:41,H,0.10,72.80
2022-12-20,00:38:51,H,0.20,72.80
2022-12-20,00:39:01,H,0.20,72.80
2022-12-20,00:39:11,H,0.20,72.80
2022-12-20,00:39:21,H,0.20,72.80
2022-12-20,00:39:31,H,0.20,72.80
2022-12-20,00:39:41,H,0.20,72.80
2022-12-20,00:39:51,H,0.20,72.70
2022-12-20,00:40:01,H,0.20,72.70
2022-12-20,00:40:11,H,0.20,72.70
2022-12-20,00:40:21,H,0.30,72.60
2022-12-20,00:40:31,H,0.30,72.60
2022-12-20,00:40:41,H,0.30,72.60
2022-12-20,00:40:51,H,0.30,72.60
2022-12-20,00:41:01,H,0.30,72.50
2022-12-20,00:41:11,H,0.30,72.50
2022-12-20,00:41:21,H,0.30,72.50
2022-12-20,00:41:31,H,0.30,72.50
2022-12-20,00:41:41,H,0.30,72.50
2022-12-20,00:41:51,H,0.40,72.60
2022-12-20,00:42:01,H,0.30,72.60
2022-12-20,00:42:11,H,0.40,72.60
2022-12-20,00:42:21,H,0.40,72.60
2022-12-20,00:42:31,H,0.40,72.60
2022-12-20,00:42:41,H,0.40,72.60
2022-12-20,00:42:51,H,0.40,72.40
2022-12-20,00:43:01,H,0.40,72.20
2022-12-20,00:43:11,H,0.40,71.90
2022-12-20,00:43:21,H,0.40,71.50
2022-12-20,00:43:31,H,0.40,71.20
2022-12-20,00:43:41,H,0.40,70.90
2022-12-20,00:43:51,H,0.40,70.50
2022-12-20,00:44:01,H,0.40,70.40
2022-12-20,00:44:11,H,0.30,70.30
2022-12-20,00:44:21,H,0.40,70.10
2022-12-20,00:44:31,H,0.40,70.10
2022-12-20,00:44:41,H,0.30,70.30
2022-12-20,00:44:51,H,0.30,70.30
2022-12-20,00:45:01,H,0.30,70.50
2022-12-20,00:45:21,H,0.30,70.40
2022-12-20,00:45:31,H,0.30,70.50
2022-12-20,00:45:41,H,0.30,70.70
2022-12-20,00:45:51,H,0.30,71.10
2022-12-20,00:46:01,H,0.30,71.50
2022-12-20,00:46:11,H,0.30,71.70
2022-12-20,00:46:21,H,0.30,71.90
2022-12-20,00:46:31,H,0.30,72.10
2022-12-20,00:46:41,H,0.40,72.20
2022-12-20,00:46:51,H,0.40,72.30
2022-12-20,00:47:01,H,0.40,72.40
2022-12-20,00:47:11,H,0.40,72.40
2022-12-20,00:47:21,H,0.40,72.50
2022-12-20,00:47:31,H,0.40,72.50
2022-12-20,00:47:41,H,0.40,72.50
2022-12-20,00:47:51,H,0.40,72.50
2022-12-20,00:48:01,H,0.40,72.60
2022-12-20,00:48:11,H,0.40,72.50
2022-12-20,00:48:21,H,0.40,72.50
2022-12-20,00:48:31,H,0.50,72.50
2022-12-20,00:48:41,H,0.40,72.40
2022-12-20,00:48:51,H,0.50,72.40
2022-12-20,00:49:01,H,0.50,72.40
2022-12-20,00:49:11,H,0.50,72.40
2022-12-20,00:49:21,H,0.50,72.40
2022-12-20,00:49:31,H,0.50,72.50
2022-12-20,00:49:41,H,0.50,72.50
2022-12-20,00:49:51,H,0.50,72.60
2022-12-20,00:50:01,H,0.50,72.50
2022-12-20,00:50:11,H,0.50,72.50
2022-12-20,00:50:21,H,0.50,72.50
2022-12-20,00:50:31,H,0.50,72.50
2022-12-20,00:50:41,H,0.50,72.50
2022-12-20,00:50:51,H,0.50,72.50
2022-12-20,00:51:01,H,0.50,72.20
2022-12-20,00:51:11,H,0.50,71.90
2022-12-20,00:51:21,H,0.50,71.50
2022-12-20,00:51:31,H,0.50,71.20
2022-12-20,00:51:41,H,0.50,70.90
2022-12-20,00:51:51,H,0.50,70.60
2022-12-20,00:52:01,H,0.50,70.60
2022-12-20,00:52:11,H,0.50,70.80
2022-12-20,00:52:21,H,0.50,71.00
2022-12-20,00:52:31,H,0.50,71.20
2022-12-20,00:52:41,H,0.50,71.50
2022-12-20,00:52:51,H,0.50,71.70
2022-12-20,00:53:01,H,0.50,71.80
2022-12-20,00:53:11,H,0.50,71.80
2022-12-20,00:53:21,H,0.50,71.70
2022-12-20,00:53:31,H,0.50,71.50
2022-12-20,00:53:41,H,0.50,71.50
2022-12-20,00:53:51,H,0.50,71.60
2022-12-20,00:54:01,H,0.50,71.70
2022-12-20,00:54:11,H,0.50,71.80
2022-12-20,00:54:21,H,0.50,71.80
2022-12-20,00:54:31,H,0.50,71.90
2022-12-20,00:54:41,H,0.60,72.00
2022-12-20,00:54:51,H,0.60,72.20
2022-12-20,00:55:01,H,0.60,72.30
2022-12-20,00:55:11,H,0.60,72.30
2022-12-20,00:55:21,H,0.60,72.40
2022-12-20,00:55:31,H,0.60,72.40
2022-12-20,00:55:41,H,0.60,72.40
2022-12-20,00:55:51,H,0.60,72.50
2022-12-20,00:56:01,H,0.60,72.50
2022-12-20,00:56:11,H,0.60,72.50
2022-12-20,00:56:21,H,0.60,72.40
2022-12-20,00:56:31,H,0.60,72.40
2022-12-20,00:56:41,H,0.60,72.40
2022-12-20,00:56:51,H,0.60,72.40
2022-12-20,00:57:01,H,0.60,72.40
2022-12-20,00:57:11,H,0.60,72.40
2022-12-20,00:57:21,H,0.60,72.40
2022-12-20,00:57:31,H,0.60,72.40
2022-12-20,00:57:41,H,0.60,72.40
2022-12-20,00:57:51,H,0.60,72.40
2022-12-20,00:58:01,H,0.60,72.40
2022-12-20,00:58:11,H,0.60,72.40
2022-12-20,00:58:21,H,0.70,72.40
2022-12-20,00:58:31,H,0.70,72.40
2022-12-20,00:58:41,H,0.70,72.50
2022-12-20,00:58:51,H,0.70,72.50
2022-12-20,00:59:01,H,0.70,72.50
2022-12-20,00:59:11,H,0.70,72.50
2022-12-20,00:59:21,H,0.70,72.40
