날짜,시간,오류 값,온도,습도
2022-12-15,00:00:06,T,-1.19,67.60
2022-12-15,00:00:06,H,-1.19,67.60
2022-12-15,00:00:16,T,-1.19,67.60
2022-12-15,00:00:16,H,-1.19,67.60
2022-12-15,00:00:26,T,-1.19,67.60
2022-12-15,00:00:26,H,-1.19,67.60
2022-12-15,00:00:36,T,-1.19,67.60
2022-12-15,00:00:36,H,-1.19,67.60
2022-12-15,00:00:46,T,-1.19,67.60
2022-12-15,00:00:46,H,-1.19,67.60
2022-12-15,00:00:56,T,-1.29,67.50
2022-12-15,00:00:56,H,-1.29,67.50
2022-12-15,00:01:06,T,-1.19,67.50
2022-12-15,00:01:06,H,-1.19,67.50
2022-12-15,00:01:16,T,-1.19,67.60
2022-12-15,00:01:16,H,-1.19,67.60
2022-12-15,00:01:26,T,-1.19,67.50
2022-12-15,00:01:26,H,-1.19,67.50
2022-12-15,00:01:36,T,-1.19,67.40
2022-12-15,00:01:36,H,-1.19,67.40
2022-12-15,00:01:46,T,-1.19,67.40
2022-12-15,00:01:46,H,-1.19,67.40
2022-12-15,00:01:56,T,-1.29,67.50
2022-12-15,00:01:56,H,-1.29,67.50
2022-12-15,00:02:06,T,-1.29,67.50
2022-12-15,00:02:06,H,-1.29,67.50
2022-12-15,00:02:16,T,-1.19,67.50
2022-12-15,00:02:16,H,-1.19,67.50
2022-12-15,00:02:26,T,-1.29,67.50
2022-12-15,00:02:26,H,-1.29,67.50
2022-12-15,00:02:36,T,-1.29,67.50
2022-12-15,00:02:36,H,-1.29,67.50
2022-12-15,00:02:46,T,-1.29,67.40
2022-12-15,00:02:46,H,-1.29,67.40
2022-12-15,00:02:56,T,-1.29,67.40
2022-12-15,00:02:56,H,-1.29,67.40
2022-12-15,00:03:06,T,-1.19,67.40
2022-12-15,00:03:06,H,-1.19,67.40
2022-12-15,00:03:16,T,-1.29,67.40
2022-12-15,00:03:16,H,-1.29,67.40
2022-12-15,00:03:26,T,-1.29,67.40
2022-12-15,00:03:26,H,-1.29,67.40
2022-12-15,00:03:36,T,-1.29,67.40
2022-12-15,00:03:36,H,-1.29,67.40
2022-12-15,00:03:46,T,-1.29,67.50
2022-12-15,00:03:46,H,-1.29,67.50
2022-12-15,00:03:56,T,-1.29,67.60
2022-12-15,00:03:56,H,-1.29,67.60
2022-12-15,00:04:06,T,-1.29,67.70
2022-12-15,00:04:06,H,-1.29,67.70
2022-12-15,00:04:16,T,-1.29,67.80
2022-12-15,00:04:16,H,-1.29,67.80
2022-12-15,00:04:26,T,-1.29,67.90
2022-12-15,00:04:26,H,-1.29,67.90
2022-12-15,00:04:36,T,-1.29,68.00
2022-12-15,00:04:36,H,-1.29,68.00
2022-12-15,00:04:46,T,-1.19,68.00
2022-12-15,00:04:46,H,-1.19,68.00
2022-12-15,00:04:56,T,-1.19,68.00
2022-12-15,00:04:56,H,-1.19,68.00
2022-12-15,00:05:06,T,-1.19,68.00
2022-12-15,00:05:06,H,-1.19,68.00
2022-12-15,00:05:16,T,-1.19,68.10
2022-12-15,00:05:16,H,-1.19,68.10
2022-12-15,00:05:26,T,-1.19,68.10
2022-12-15,00:05:26,H,-1.19,68.10
2022-12-15,00:05:36,T,-1.19,68.00
2022-12-15,00:05:36,H,-1.19,68.00
2022-12-15,00:05:46,T,-1.19,68.10
2022-12-15,00:05:46,H,-1.19,68.10
2022-12-15,00:05:56,T,-1.19,68.10
2022-12-15,00:05:56,H,-1.19,68.10
2022-12-15,00:06:06,T,-1.19,68.10
2022-12-15,00:06:06,H,-1.19,68.10
2022-12-15,00:06:16,T,-1.19,68.10
2022-12-15,00:06:16,H,-1.19,68.10
2022-12-15,00:06:26,T,-1.19,68.00
2022-12-15,00:06:26,H,-1.19,68.00
2022-12-15,00:06:36,T,-1.19,68.00
2022-12-15,00:06:36,H,-1.19,68.00
2022-12-15,00:06:46,T,-1.19,68.00
2022-12-15,00:06:46,H,-1.19,68.00
2022-12-15,00:06:56,T,-1.19,68.10
2022-12-15,00:06:56,H,-1.19,68.10
2022-12-15,00:07:06,T,-1.19,68.10
2022-12-15,00:07:06,H,-1.19,68.10
2022-12-15,00:07:16,T,-1.19,68.10
2022-12-15,00:07:16,H,-1.19,68.10
2022-12-15,00:07:26,T,-1.19,68.10
2022-12-15,00:07:26,H,-1.19,68.10
2022-12-15,00:07:36,T,-1.19,68.10
2022-12-15,00:07:36,H,-1.19,68.10
2022-12-15,00:07:46,T,-1.19,68.00
2022-12-15,00:07:46,H,-1.19,68.00
2022-12-15,00:07:56,T,-1.19,68.10
2022-12-15,00:07:56,H,-1.19,68.10
2022-12-15,00:08:06,T,-1.19,68.20
2022-12-15,00:08:06,H,-1.19,68.20
2022-12-15,00:08:16,T,-1.19,68.20
2022-12-15,00:08:16,H,-1.19,68.20
2022-12-15,00:08:26,T,-1.19,68.20
2022-12-15,00:08:26,H,-1.19,68.20
2022-12-15,00:08:36,T,-1.19,68.20
2022-12-15,00:08:36,H,-1.19,68.20
