Date time,Status,ACCX,ANGX,ANGVX,ACCY,ANGY,ANGVY,ACCZ,ANGZ,ANGVZ
2024-09-08 오전 12:36:16,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:36:16,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:36:19,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:36:27,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:36:28,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:36:29,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:36:29,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:36:30,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:36:30,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:36:30,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:36:31,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:36:32,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:36:32,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:36:33,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:36:33,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:36:33,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:36:33,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:36:33,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:37:37,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:37:46,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:37:51,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:12,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:12,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:12,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:12,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:14,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:15,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:15,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:22,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:22,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:22,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:22,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:23,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:23,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:35,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:35,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:35,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:35,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:35,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:35,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:35,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:36,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:36,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:36,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:36,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:36,Rec,0,0,0,0,0,0,0,0,0
