날짜,시간,오류 값,온도,습도
2022-11-28,16:40:21,H,13.60,60.10
2022-11-28,16:40:31,H,13.60,60.10
2022-11-28,16:40:41,H,13.60,60.30
2022-11-28,16:40:51,H,13.60,60.40
2022-11-28,16:41:01,H,13.60,60.40
2022-11-28,16:41:11,H,13.60,60.50
2022-11-28,16:41:21,H,13.60,60.60
2022-11-28,16:41:31,H,13.60,60.60
2022-11-28,16:41:41,H,13.60,60.60
2022-11-28,16:41:51,H,13.60,60.60
2022-11-28,16:42:01,H,13.50,60.80
2022-11-28,16:42:11,H,13.50,60.90
2022-11-28,16:42:21,H,13.50,60.90
2022-11-28,16:42:31,H,13.50,60.90
2022-11-28,16:42:41,H,13.50,60.80
2022-11-28,16:42:51,H,13.50,60.70
2022-11-28,16:43:01,H,13.50,60.70
2022-11-28,16:43:11,H,13.50,60.70
2022-11-28,16:43:21,H,13.50,60.80
2022-11-28,16:43:31,H,13.40,61.00
2022-11-28,16:43:41,H,13.40,61.00
2022-11-28,16:43:51,H,13.40,61.10
2022-11-28,16:44:01,H,13.40,61.00
2022-11-28,16:44:11,H,13.40,61.10
2022-11-28,16:44:21,H,13.40,61.40
2022-11-28,16:44:31,H,13.40,61.40
2022-11-28,16:44:41,H,13.40,61.40
2022-11-28,16:44:51,H,13.40,61.50
2022-11-28,16:45:01,H,13.40,61.50
2022-11-28,16:45:11,H,13.40,61.40
2022-11-28,16:45:21,H,13.40,61.60
2022-11-28,16:45:31,H,13.30,61.80
2022-11-28,16:45:41,H,13.30,62.00
2022-11-28,16:45:51,H,13.30,61.80
2022-11-28,16:46:01,H,13.30,61.90
2022-11-28,16:46:11,H,13.30,62.00
2022-11-28,16:46:21,H,13.30,62.00
2022-11-28,16:46:31,H,13.30,62.10
2022-11-28,16:46:41,H,13.30,62.10
2022-11-28,16:46:51,H,13.30,62.20
2022-11-28,16:47:01,H,13.30,62.20
2022-11-28,16:47:11,H,13.30,62.20
2022-11-28,16:47:21,H,13.30,62.10
2022-11-28,16:47:31,H,13.20,62.10
2022-11-28,16:47:41,H,13.20,62.10
2022-11-28,16:47:51,H,13.20,62.30
2022-11-28,16:48:01,H,13.20,62.30
2022-11-28,16:48:11,H,13.20,62.20
2022-11-28,16:48:21,H,13.20,62.10
2022-11-28,16:48:31,H,13.20,62.20
2022-11-28,16:48:41,H,13.20,62.20
2022-11-28,16:48:51,H,13.20,62.20
2022-11-28,16:49:01,H,13.20,62.20
2022-11-28,16:49:11,H,13.20,62.30
2022-11-28,16:49:21,H,13.20,62.30
2022-11-28,16:49:31,H,13.20,62.30
2022-11-28,16:49:41,H,13.20,62.30
2022-11-28,16:49:51,H,13.20,62.40
2022-11-28,16:50:01,H,13.20,62.70
2022-11-28,16:50:11,H,13.10,62.70
2022-11-28,16:50:21,H,13.10,62.60
2022-11-28,16:50:31,H,13.10,62.50
2022-11-28,16:50:41,H,13.10,62.60
2022-11-28,16:50:51,H,13.10,62.70
2022-11-28,16:51:01,H,13.10,62.80
2022-11-28,16:51:11,H,13.10,62.90
2022-11-28,16:51:21,H,13.10,63.00
2022-11-28,16:51:31,H,13.10,63.10
2022-11-28,16:51:41,H,13.10,63.10
2022-11-28,16:51:51,H,13.10,63.20
2022-11-28,16:52:01,H,13.10,63.30
2022-11-28,16:52:11,H,13.10,63.10
2022-11-28,16:52:21,H,13.10,63.20
2022-11-28,16:52:31,H,13.00,63.30
2022-11-28,16:52:41,H,13.00,63.40
2022-11-28,16:52:51,H,13.00,63.40
2022-11-28,16:53:01,H,13.00,63.30
2022-11-28,16:53:11,H,13.00,63.40
2022-11-28,16:53:21,H,13.00,63.30
2022-11-28,16:53:31,H,13.00,63.40
2022-11-28,16:53:41,H,13.00,63.30
2022-11-28,16:53:51,H,13.00,63.30
2022-11-28,16:54:01,H,13.00,63.50
2022-11-28,16:54:11,H,13.00,63.60
2022-11-28,16:54:21,H,13.00,63.60
2022-11-28,16:54:31,H,13.00,63.40
2022-11-28,16:54:41,H,13.00,63.50
2022-11-28,16:54:51,H,13.00,63.50
2022-11-28,16:55:01,H,12.90,63.40
2022-11-28,16:55:11,H,12.90,63.40
2022-11-28,16:55:21,H,12.90,63.40
2022-11-28,16:55:31,H,13.00,63.50
2022-11-28,16:55:41,H,12.90,63.70
2022-11-28,16:55:51,H,12.90,63.90
2022-11-28,16:56:01,H,12.90,63.80
2022-11-28,16:56:11,H,12.90,63.80
2022-11-28,16:56:21,H,12.90,63.80
2022-11-28,16:56:31,H,12.90,63.70
2022-11-28,16:56:41,H,12.90,63.60
2022-11-28,16:56:51,H,12.90,63.60
2022-11-28,16:57:01,H,12.90,63.60
2022-11-28,16:57:11,H,12.90,63.70
2022-11-28,16:57:21,H,12.90,63.80
2022-11-28,16:57:31,H,12.90,63.50
2022-11-28,16:57:41,H,12.90,63.50
2022-11-28,16:58:11,H,12.90,63.80
2022-11-28,16:58:21,H,12.90,63.90
2022-11-28,16:58:31,H,12.90,63.90
2022-11-28,16:58:41,H,12.90,63.70
2022-11-28,16:58:51,H,12.90,63.60
2022-11-28,16:59:01,H,12.90,63.60
2022-11-28,16:59:11,H,12.90,63.60
2022-11-28,16:59:21,H,12.90,63.60
2022-11-28,16:59:31,H,12.90,63.60
2022-11-28,16:59:41,H,12.90,63.70
2022-11-28,16:59:51,H,12.90,63.90
2022-11-28,17:00:01,H,12.90,64.00
2022-11-28,17:00:11,H,12.90,63.90
2022-11-28,17:00:21,H,12.90,63.90
2022-11-28,17:00:31,H,12.90,64.30
2022-11-28,17:00:41,H,12.90,64.40
2022-11-28,17:00:51,H,12.90,64.30
2022-11-28,17:01:01,H,12.90,64.10
2022-11-28,17:01:11,H,12.90,64.10
2022-11-28,17:01:21,H,12.90,64.20
2022-11-28,17:01:31,H,12.90,64.40
2022-11-28,17:01:41,H,12.90,64.50
2022-11-28,17:01:51,H,12.90,64.30
2022-11-28,17:02:01,H,12.90,64.20
2022-11-28,17:02:11,H,12.90,64.30
2022-11-28,17:02:21,H,12.90,64.10
2022-11-28,17:02:31,H,12.90,64.20
2022-11-28,17:02:41,H,12.90,64.50
2022-11-28,17:02:51,H,12.90,64.30
2022-11-28,17:03:01,H,12.90,64.10
2022-11-28,17:03:11,H,12.90,64.00
2022-11-28,17:03:21,H,12.90,64.10
2022-11-28,17:03:31,H,12.90,64.20
2022-11-28,17:03:41,H,12.90,64.00
2022-11-28,17:03:51,H,12.90,64.10
2022-11-28,17:04:01,H,13.00,64.10
2022-11-28,17:04:11,H,12.90,64.10
2022-11-28,17:04:21,H,13.00,64.00
2022-11-28,17:04:31,H,12.90,63.90
2022-11-28,17:04:41,H,12.90,64.20
2022-11-28,17:04:51,H,12.90,64.20
2022-11-28,17:05:01,H,12.90,64.00
2022-11-28,17:05:11,H,13.00,64.00
2022-11-28,17:05:21,H,13.00,64.00
2022-11-28,17:05:31,H,13.00,64.10
2022-11-28,17:05:41,H,13.00,64.30
2022-11-28,17:05:51,H,13.00,64.20
2022-11-28,17:06:01,H,13.00,64.10
2022-11-28,17:06:11,H,13.00,63.90
2022-11-28,17:06:21,H,13.00,64.20
2022-11-28,17:06:31,H,13.00,64.50
2022-11-28,17:06:41,H,13.00,64.60
2022-11-28,17:06:51,H,13.00,64.60
2022-11-28,17:07:01,H,13.00,64.20
2022-11-28,17:07:11,H,13.00,64.00
2022-11-28,17:07:21,H,13.00,64.20
2022-11-28,17:07:31,H,13.00,64.10
2022-11-28,17:07:41,H,13.00,63.90
2022-11-28,17:07:51,H,13.00,64.10
2022-11-28,17:08:01,H,13.00,64.40
2022-11-28,17:08:11,H,13.00,64.20
2022-11-28,17:08:21,H,13.00,64.30
2022-11-28,17:08:31,H,13.00,64.30
2022-11-28,17:08:41,H,13.00,64.10
2022-11-28,17:08:51,H,13.00,64.00
2022-11-28,17:09:01,H,13.00,63.90
2022-11-28,17:09:11,H,13.00,63.80
2022-11-28,17:09:21,H,13.00,63.80
2022-11-28,17:09:31,H,13.00,63.80
2022-11-28,17:09:41,H,13.00,63.90
2022-11-28,17:09:51,H,13.00,64.20
2022-11-28,17:10:01,H,13.00,64.00
2022-11-28,17:10:11,H,13.00,64.10
2022-11-28,17:10:21,H,13.00,64.10
2022-11-28,17:10:31,H,13.00,64.40
2022-11-28,17:10:41,H,13.00,64.40
2022-11-28,17:10:51,H,13.00,64.00
2022-11-28,17:11:01,H,13.00,63.80
2022-11-28,17:11:11,H,13.00,64.00
2022-11-28,17:11:21,H,13.00,64.30
2022-11-28,17:11:31,H,13.00,64.60
2022-11-28,17:11:41,H,13.00,64.80
2022-11-28,17:11:51,H,13.00,64.70
2022-11-28,17:12:01,H,13.00,64.60
2022-11-28,17:12:11,H,13.00,64.70
2022-11-28,17:12:21,H,13.00,64.50
2022-11-28,17:12:31,H,13.00,64.30
2022-11-28,17:12:41,H,13.00,64.20
2022-11-28,17:12:51,H,13.00,64.30
2022-11-28,17:13:01,H,13.00,64.20
2022-11-28,17:13:11,H,13.00,64.20
2022-11-28,17:13:21,H,13.00,64.50
2022-11-28,17:13:31,H,13.00,64.80
2022-11-28,17:13:41,H,13.00,64.90
2022-11-28,17:13:51,H,13.00,64.80
2022-11-28,17:14:01,H,13.00,64.70
2022-11-28,17:14:11,H,13.00,64.80
2022-11-28,17:14:21,H,13.00,64.90
2022-11-28,17:14:31,H,13.00,65.20
2022-11-28,17:14:41,H,13.00,65.20
2022-11-28,17:14:51,H,13.00,65.30
2022-11-28,17:15:01,H,13.00,65.20
2022-11-28,17:15:11,H,13.00,65.30
2022-11-28,17:15:21,H,13.00,65.30
2022-11-28,17:15:31,H,13.00,65.50
2022-11-28,17:15:41,H,13.00,65.20
2022-11-28,17:15:51,H,13.00,65.00
2022-11-28,17:16:01,H,13.00,64.80
2022-11-28,17:16:11,H,13.00,65.30
2022-11-28,17:16:21,H,13.00,65.60
2022-11-28,17:16:31,H,13.00,65.10
2022-11-28,17:16:41,H,13.00,64.80
2022-11-28,17:16:51,H,13.00,65.10
2022-11-28,17:17:01,H,13.00,64.90
2022-11-28,17:17:11,H,13.00,64.60
2022-11-28,17:17:21,H,13.00,64.60
2022-11-28,17:17:31,H,13.00,64.80
2022-11-28,17:17:41,H,13.00,64.80
2022-11-28,17:17:51,H,13.00,65.20
2022-11-28,17:18:01,H,13.00,65.20
2022-11-28,17:18:11,H,13.00,65.00
2022-11-28,17:18:21,H,13.00,64.50
2022-11-28,17:18:31,H,13.00,64.20
2022-11-28,17:18:41,H,13.10,64.10
2022-11-28,17:18:51,H,13.10,64.00
2022-11-28,17:19:01,H,13.10,64.00
2022-11-28,17:19:11,H,13.00,64.00
2022-11-28,17:19:21,H,13.10,64.20
2022-11-28,17:19:31,H,13.00,64.60
2022-11-28,17:19:41,H,13.10,64.80
2022-11-28,17:19:51,H,13.10,64.80
2022-11-28,17:20:01,H,13.10,64.80
2022-11-28,17:20:11,H,13.10,64.70
2022-11-28,17:20:21,H,13.10,64.80
2022-11-28,17:20:31,H,13.10,65.10
2022-11-28,17:20:41,H,13.10,65.10
2022-11-28,17:20:51,H,13.10,64.80
2022-11-28,17:21:01,H,13.10,64.80
2022-11-28,17:21:11,H,13.10,64.40
2022-11-28,17:21:21,H,13.10,64.60
2022-11-28,17:21:31,H,13.10,64.90
2022-11-28,17:21:41,H,13.10,64.90
2022-11-28,17:21:51,H,13.10,64.90
2022-11-28,17:22:01,H,13.10,65.00
2022-11-28,17:22:11,H,13.10,65.30
2022-11-28,17:22:21,H,13.10,65.50
2022-11-28,17:22:31,H,13.10,65.40
2022-11-28,17:22:41,H,13.10,65.50
2022-11-28,17:22:51,H,13.10,65.70
2022-11-28,17:23:01,H,13.10,65.70
2022-11-28,17:23:11,H,13.00,65.60
2022-11-28,17:23:21,H,13.00,65.60
2022-11-28,17:23:31,H,13.00,65.60
2022-11-28,17:23:41,H,13.00,65.30
2022-11-28,17:23:51,H,13.00,64.70
2022-11-28,17:24:01,H,13.00,64.80
2022-11-28,17:24:11,H,13.00,65.00
2022-11-28,17:24:21,H,13.00,64.90
2022-11-28,17:24:31,H,13.00,64.80
2022-11-28,17:24:41,H,13.00,64.60
2022-11-28,17:24:51,H,13.00,64.50
2022-11-28,17:25:01,H,13.00,64.30
2022-11-28,17:25:11,H,13.00,64.20
2022-11-28,17:25:21,H,13.00,64.30
2022-11-28,17:25:31,H,13.00,64.70
2022-11-28,17:25:41,H,13.00,65.10
2022-11-28,17:25:51,H,13.00,65.10
2022-11-28,17:26:01,H,13.00,65.00
2022-11-28,17:26:11,H,13.00,64.90
2022-11-28,17:26:21,H,13.00,65.30
2022-11-28,17:26:31,H,13.00,65.20
2022-11-28,17:26:41,H,13.00,65.00
2022-11-28,17:26:51,H,13.00,64.60
2022-11-28,17:27:01,H,13.10,64.20
2022-11-28,17:27:11,H,13.00,64.40
2022-11-28,17:27:21,H,13.10,64.30
2022-11-28,17:27:31,H,13.00,64.30
2022-11-28,17:27:41,H,13.10,64.10
2022-11-28,17:27:51,H,13.10,64.10
2022-11-28,17:28:01,H,13.10,64.20
2022-11-28,17:28:11,H,13.00,64.70
2022-11-28,17:28:21,H,13.10,65.00
2022-11-28,17:28:31,H,13.10,65.00
2022-11-28,17:28:41,H,13.10,65.00
2022-11-28,17:28:51,H,13.10,64.90
2022-11-28,17:29:01,H,13.10,64.70
2022-11-28,17:29:11,H,13.10,64.40
2022-11-28,17:29:21,H,13.10,64.20
2022-11-28,17:29:31,H,13.10,64.00
2022-11-28,17:29:41,H,13.10,64.00
2022-11-28,17:29:51,H,13.10,64.00
2022-11-28,17:30:01,H,13.10,64.00
2022-11-28,17:30:11,H,13.10,64.00
2022-11-28,17:30:21,H,13.10,64.00
2022-11-28,17:30:31,H,13.10,63.80
2022-11-28,17:30:41,H,13.10,63.70
2022-11-28,17:30:51,H,13.10,63.60
2022-11-28,17:31:01,H,13.10,63.60
2022-11-28,17:31:11,H,13.10,63.50
2022-11-28,17:31:21,H,13.10,63.50
2022-11-28,17:31:31,H,13.10,63.50
2022-11-28,17:31:41,H,13.10,63.50
