날짜,시간,오류 값,온도,습도
2022-11-26,00:27:21,H,11.20,60.10
2022-11-26,00:27:31,H,11.20,60.10
2022-11-26,00:27:41,H,11.20,60.10
2022-11-26,00:33:01,H,11.20,60.10
2022-11-26,00:33:11,H,11.20,60.10
2022-11-26,00:33:21,H,11.20,60.20
2022-11-26,00:33:31,H,11.20,60.20
2022-11-26,00:33:41,H,11.20,60.20
2022-11-26,00:33:51,H,11.20,60.20
2022-11-26,00:34:01,H,11.20,60.20
2022-11-26,00:34:11,H,11.20,60.30
2022-11-26,00:34:21,H,11.20,60.30
2022-11-26,00:34:31,H,11.20,60.30
2022-11-26,00:34:41,H,11.30,60.30
2022-11-26,00:34:51,H,11.20,60.20
2022-11-26,00:35:01,H,11.30,60.20
2022-11-26,00:35:11,H,11.20,60.30
2022-11-26,00:35:21,H,11.20,60.20
2022-11-26,00:35:31,H,11.30,60.20
2022-11-26,00:35:41,H,11.20,60.20
2022-11-26,00:35:51,H,11.30,60.20
2022-11-26,00:36:01,H,11.30,60.20
2022-11-26,00:36:11,H,11.20,60.20
2022-11-26,00:36:21,H,11.30,60.30
2022-11-26,00:36:31,H,11.30,60.30
2022-11-26,00:36:41,H,11.30,60.30
2022-11-26,00:36:51,H,11.30,60.30
2022-11-26,00:37:01,H,11.30,60.30
2022-11-26,00:37:11,H,11.30,60.30
2022-11-26,00:37:21,H,11.30,60.30
2022-11-26,00:37:31,H,11.30,60.30
2022-11-26,00:37:41,H,11.30,60.30
2022-11-26,00:37:51,H,11.20,60.20
2022-11-26,00:38:01,H,11.30,60.20
2022-11-26,00:38:11,H,11.30,60.20
2022-11-26,00:38:21,H,11.30,60.30
2022-11-26,00:38:31,H,11.30,60.20
2022-11-26,00:38:41,H,11.30,60.20
2022-11-26,00:38:51,H,11.30,60.30
2022-11-26,00:39:01,H,11.30,60.30
2022-11-26,00:39:11,H,11.30,60.30
2022-11-26,00:39:21,H,11.30,60.30
2022-11-26,00:39:31,H,11.30,60.30
2022-11-26,00:39:41,H,11.30,60.30
2022-11-26,00:39:51,H,11.30,60.30
2022-11-26,00:40:01,H,11.30,60.30
2022-11-26,00:40:11,H,11.30,60.30
2022-11-26,00:40:21,H,11.30,60.30
2022-11-26,00:40:31,H,11.30,60.30
2022-11-26,00:40:41,H,11.30,60.30
2022-11-26,00:40:51,H,11.30,60.30
2022-11-26,00:41:01,H,11.30,60.30
2022-11-26,00:41:11,H,11.30,60.20
2022-11-26,00:41:21,H,11.30,60.20
2022-11-26,00:41:31,H,11.30,60.20
2022-11-26,00:41:41,H,11.30,60.20
2022-11-26,00:41:51,H,11.30,60.30
2022-11-26,00:42:01,H,11.30,60.30
2022-11-26,00:42:11,H,11.30,60.20
2022-11-26,00:42:21,H,11.30,60.30
2022-11-26,00:42:31,H,11.30,60.20
2022-11-26,00:42:41,H,11.30,60.20
2022-11-26,00:42:51,H,11.30,60.20
2022-11-26,00:43:01,H,11.30,60.30
2022-11-26,00:43:11,H,11.30,60.30
2022-11-26,00:43:21,H,11.30,60.30
2022-11-26,00:43:31,H,11.30,60.30
2022-11-26,00:43:41,H,11.30,60.30
2022-11-26,00:43:51,H,11.30,60.30
2022-11-26,00:44:01,H,11.30,60.40
2022-11-26,00:44:11,H,11.30,60.40
2022-11-26,00:44:21,H,11.30,60.40
2022-11-26,00:44:31,H,11.30,60.20
2022-11-26,00:52:11,H,10.90,60.30
2022-11-26,00:52:21,H,10.90,60.60
