날짜,시간,오류 값,온도,습도
2022-11-25,11:33:06,H,14.70,53.90
2022-11-25,11:33:16,H,14.70,53.80
2022-11-25,19:21:06,H,13.00,60.10
2022-11-25,19:21:16,H,13.00,60.10
2022-11-25,19:21:26,H,13.00,60.10
2022-11-25,19:21:36,H,13.00,60.20
2022-11-25,19:21:46,H,13.00,60.20
2022-11-25,19:21:56,H,13.00,60.20
2022-11-25,19:22:06,H,13.00,60.20
2022-11-25,19:22:16,H,13.00,60.20
2022-11-25,19:22:26,H,13.00,60.20
2022-11-25,19:22:36,H,13.00,60.20
2022-11-25,19:22:46,H,13.00,60.20
2022-11-25,19:22:56,H,13.00,60.10
2022-11-25,19:23:06,H,13.00,60.10
2022-11-25,19:23:16,H,13.00,60.10
2022-11-25,19:23:26,H,13.00,60.10
2022-11-25,19:23:36,H,13.00,60.10
2022-11-25,19:23:46,H,13.00,60.20
2022-11-25,19:23:56,H,13.00,60.20
2022-11-25,19:24:06,H,13.00,60.20
2022-11-25,19:24:16,H,13.00,60.20
2022-11-25,19:24:26,H,13.00,60.20
2022-11-25,19:24:36,H,13.00,60.20
2022-11-25,19:24:46,H,13.00,60.30
2022-11-25,19:24:56,H,13.00,60.30
2022-11-25,19:25:06,H,13.00,60.30
2022-11-25,19:25:16,H,13.00,60.30
2022-11-25,19:25:26,H,13.00,60.40
2022-11-25,19:25:36,H,13.00,60.40
2022-11-25,19:25:46,H,13.00,60.40
2022-11-25,19:25:56,H,13.00,60.30
2022-11-25,19:28:06,H,12.90,60.10
2022-11-25,19:28:16,H,12.90,60.10
2022-11-25,19:28:26,H,12.90,60.20
2022-11-25,19:28:36,H,12.90,60.30
2022-11-25,19:28:46,H,12.90,60.30
2022-11-25,19:28:56,H,12.90,60.30
2022-11-25,19:29:06,H,12.90,60.20
2022-11-25,19:29:16,H,12.90,60.20
2022-11-25,19:29:26,H,12.90,60.20
2022-11-25,19:29:36,H,12.90,60.20
2022-11-25,19:29:46,H,12.90,60.30
2022-11-25,19:29:56,H,12.90,60.30
2022-11-25,19:30:06,H,12.90,60.30
2022-11-25,19:30:16,H,12.90,60.40
2022-11-25,19:30:26,H,12.90,60.40
2022-11-25,19:30:36,H,12.90,60.40
2022-11-25,19:30:46,H,12.90,60.30
2022-11-25,19:30:56,H,12.90,60.10
2022-11-25,19:31:06,H,12.90,60.10
2022-11-25,19:31:36,H,12.90,60.10
2022-11-25,19:31:46,H,12.90,60.20
2022-11-25,19:31:56,H,12.90,60.30
2022-11-25,19:32:06,H,12.90,60.20
2022-11-25,19:32:16,H,12.90,60.20
2022-11-25,19:32:26,H,12.90,60.30
2022-11-25,19:32:36,H,12.90,60.30
2022-11-25,19:32:46,H,12.90,60.30
2022-11-25,19:32:56,H,12.90,60.40
2022-11-25,19:33:06,H,12.90,60.30
2022-11-25,19:33:16,H,12.90,60.40
2022-11-25,19:33:26,H,12.90,60.40
2022-11-25,19:33:36,H,12.90,60.40
2022-11-25,19:33:46,H,12.90,60.40
2022-11-25,19:33:56,H,12.90,60.40
2022-11-25,19:34:06,H,12.90,60.30
2022-11-25,19:34:16,H,12.90,60.30
2022-11-25,19:34:26,H,12.90,60.30
2022-11-25,19:34:36,H,12.90,60.30
2022-11-25,19:34:46,H,12.90,60.30
2022-11-25,19:34:56,H,12.90,60.40
2022-11-25,19:35:06,H,12.90,60.40
2022-11-25,19:35:16,H,12.90,60.40
2022-11-25,19:35:26,H,12.90,60.50
2022-11-25,19:35:36,H,12.90,60.40
2022-11-25,19:35:46,H,12.90,60.20
2022-11-25,19:35:56,H,12.90,60.30
2022-11-25,19:36:06,H,12.90,60.30
2022-11-25,19:36:16,H,12.90,60.30
2022-11-25,19:36:26,H,12.90,60.40
2022-11-25,19:36:36,H,12.90,60.40
2022-11-25,19:36:46,H,12.90,60.40
2022-11-25,19:36:56,H,12.90,60.40
2022-11-25,19:37:06,H,12.90,60.30
2022-11-25,19:37:16,H,12.90,60.40
2022-11-25,19:37:26,H,12.90,60.40
2022-11-25,19:37:36,H,12.90,60.40
2022-11-25,19:37:46,H,12.90,60.40
2022-11-25,19:37:56,H,12.90,60.40
2022-11-25,19:38:06,H,12.90,60.40
2022-11-25,19:38:16,H,12.90,60.30
2022-11-25,19:38:26,H,12.90,60.20
2022-11-25,19:40:16,H,12.80,60.20
2022-11-25,19:40:26,H,12.80,60.30
2022-11-25,19:40:46,H,12.80,60.50
2022-11-25,19:40:56,H,12.80,60.50
2022-11-25,19:41:06,H,12.80,60.50
2022-11-25,19:41:16,H,12.80,60.50
2022-11-25,19:41:26,H,12.80,60.50
2022-11-25,19:41:36,H,12.80,60.50
2022-11-25,19:41:46,H,12.80,60.50
2022-11-25,19:41:56,H,12.80,60.50
