날짜,시간,오류 값,온도,습도
2022-11-17,16:14:24,T,41.12,2.18
2022-11-17,16:14:28,T,41.12,2.18
2022-11-17,16:14:30,T,41.12,2.18
2022-11-17,16:14:36,T,41.12,2.18
2022-11-17,16:14:38,T,41.12,2.18
2022-11-17,16:14:40,T,41.12,2.18
2022-11-17,16:14:41,T,41.12,2.18
2022-11-17,16:14:51,T,41.12,2.18
2022-11-17,16:15:44,T,41.12,2.18
2022-11-17,16:15:53,H,21.84,4.35
2022-11-17,16:15:55,H,21.84,4.35
2022-11-17,16:16:03,T,41.12,2.18
2022-11-17,16:16:03,H,41.12,2.18
2022-11-17,16:16:07,T,41.12,2.18
2022-11-17,16:16:07,H,41.12,2.18
2022-11-17,16:16:11,H,21.84,4.35
2022-11-17,16:16:12,T,41.12,2.18
2022-11-17,16:16:12,H,41.12,2.18
2022-11-17,16:16:20,H,21.84,4.35
2022-11-17,16:16:21,H,21.84,4.35
2022-11-17,16:18:51,H,21.84,4.35
2022-11-17,16:19:04,H,21.84,4.35
2022-11-17,16:19:08,H,21.84,4.35
2022-11-17,16:19:13,H,21.84,4.35
