날짜,시간,오류 값,온도,습도
2022-11-30,19:34:57,H,3.80,60.10
2022-11-30,19:35:07,H,3.90,60.20
2022-11-30,19:35:17,H,3.90,60.30
2022-11-30,19:35:27,H,3.90,60.10
2022-11-30,19:35:57,H,3.90,60.10
2022-11-30,19:36:07,H,3.90,60.20
2022-11-30,19:36:17,H,3.90,60.30
2022-11-30,19:36:27,H,3.90,60.40
2022-11-30,19:36:37,H,3.90,60.40
2022-11-30,19:36:47,H,3.90,60.40
2022-11-30,19:36:57,H,3.90,60.50
2022-11-30,19:37:07,H,3.90,60.50
2022-11-30,19:37:17,H,3.90,60.50
2022-11-30,19:37:27,H,3.90,60.50
2022-11-30,19:37:37,H,3.90,60.40
2022-11-30,19:37:47,H,3.90,60.30
2022-11-30,19:37:57,H,3.90,60.30
2022-11-30,19:38:07,H,3.90,60.30
2022-11-30,19:38:17,H,4.00,60.30
2022-11-30,19:38:27,H,4.00,60.30
2022-11-30,19:38:37,H,4.00,60.30
2022-11-30,19:38:47,H,3.90,60.30
2022-11-30,19:38:57,H,3.90,60.30
2022-11-30,19:39:07,H,4.00,60.20
2022-11-30,19:39:17,H,4.00,60.10
2022-11-30,19:39:27,H,4.00,60.10
2022-11-30,19:39:37,H,4.00,60.10
2022-11-30,19:39:47,H,4.00,60.20
2022-11-30,19:39:57,H,4.00,60.20
2022-11-30,19:40:07,H,4.00,60.20
2022-11-30,19:40:17,H,4.00,60.20
2022-11-30,19:40:27,H,4.00,60.30
2022-11-30,19:40:37,H,4.00,60.30
2022-11-30,19:40:47,H,4.00,60.20
2022-11-30,19:40:57,H,4.00,60.10
2022-11-30,19:41:07,H,4.00,60.10
2022-11-30,19:41:17,H,4.00,60.20
2022-11-30,19:41:27,H,4.00,60.30
2022-11-30,19:41:37,H,4.00,60.40
2022-11-30,19:41:47,H,4.00,60.50
2022-11-30,19:41:57,H,4.00,60.50
2022-11-30,19:42:07,H,4.00,60.40
2022-11-30,19:42:37,H,4.00,60.10
2022-11-30,19:42:47,H,4.00,60.20
2022-11-30,19:42:57,H,4.00,60.20
2022-11-30,19:43:07,H,4.00,60.30
2022-11-30,19:43:17,H,4.00,60.40
2022-11-30,19:43:27,H,4.00,60.50
2022-11-30,19:43:37,H,4.00,60.20
2022-11-30,19:44:27,H,4.00,60.10
2022-11-30,19:44:37,H,4.00,60.20
2022-11-30,19:45:17,H,4.00,60.10
2022-11-30,19:51:57,H,3.70,60.10
2022-11-30,19:52:07,H,3.70,60.20
2022-11-30,19:52:17,H,3.70,60.20
2022-11-30,19:52:27,H,3.70,60.30
2022-11-30,19:52:37,H,3.70,60.30
2022-11-30,19:54:27,H,3.70,60.20
2022-11-30,19:55:47,H,3.70,60.30
2022-11-30,19:55:57,H,3.70,60.50
2022-11-30,19:56:07,H,3.70,60.60
2022-11-30,20:01:57,H,3.50,60.20
